Attendance,Exams,Major,Project,Questions,Seniority,Texting,Grade
11,89,Cs,75,Rare,Senior,Rarely,Pass
4,90,Cs,58,Always,Freshman,Rarely,Pass
71,47,Polsci,86,Rare,Senior,Always,Pass
54,84,Comm,53,Always,Sophomore,Always,Pass
85,73,Polsci,60,Rare,Senior,Rarely,Fail
1,94,Polsci,100,Always,Freshman,Always,Pass
92,81,Stat,63,Rare,Sophomore,Rarely,Pass
74,0,Comm,84,Always,Senior,Always,Pass
53,29,Cs,95,Rare,Freshman,Always,Fail
6,50,Cs,78,Always,Junior,Rarely,Fail
77,20,Cs,40,Always,Sophomore,Always,Fail
40,87,Stat,99,Rare,Junior,Rarely,Fail
61,62,Polsci,96,Always,Junior,Rarely,Fail
62,78,Polsci,98,Always,Sophomore,Rarely,Pass
15,45,Stat,68,Always,Junior,Always,Fail
5,46,Cs,45,Always,Freshman,Always,Fail
77,9,Polsci,2,Always,Sophomore,Rarely,Pass
90,41,Stat,76,Rare,Senior,Always,Fail
4,19,Comm,49,Rare,Sophomore,Rarely,Pass
94,13,Comm,43,Rare,Senior,Always,Pass
24,68,Comm,56,Always,Senior,Always,Pass
96,57,Stat,90,Rare,Senior,Rarely,Fail
92,30,Stat,42,Always,Senior,Always,Fail
82,34,Comm,83,Rare,Freshman,Always,Pass
45,8,Cs,71,Rare,Sophomore,Rarely,Fail
61,91,Cs,16,Rare,Junior,Rarely,Pass
26,82,Comm,37,Rare,Freshman,Always,Pass
26,77,Polsci,30,Always,Senior,Rarely,Pass
92,1,Polsci,83,Rare,Freshman,Rarely,Fail
0,93,Stat,31,Rare,Freshman,Always,Pass
6,93,Comm,29,Always,Freshman,Always,Pass
99,56,Polsci,92,Always,Senior,Rarely,Pass
0,9,Stat,35,Always,Freshman,Always,Fail
91,76,Cs,32,Always,Senior,Rarely,Fail
57,98,Comm,16,Always,Sophomore,Rarely,Fail
97,9,Cs,94,Rare,Freshman,Rarely,Fail
55,52,Cs,35,Rare,Sophomore,Rarely,Fail
75,100,Cs,27,Rare,Freshman,Always,Fail
46,86,Stat,96,Always,Senior,Always,Pass
13,15,Polsci,58,Rare,Senior,Rarely,Fail
26,98,Polsci,74,Rare,Freshman,Always,Pass
82,69,Stat,51,Rare,Junior,Always,Fail
13,69,Stat,28,Rare,Junior,Rarely,Fail
34,21,Cs,24,Always,Senior,Always,Fail
60,12,Comm,75,Rare,Freshman,Rarely,Pass
63,45,Stat,73,Rare,Senior,Rarely,Fail
74,79,Polsci,93,Always,Sophomore,Rarely,Pass
98,2,Polsci,18,Always,Freshman,Rarely,Pass
27,73,Comm,95,Rare,Senior,Always,Pass
99,96,Polsci,0,Always,Freshman,Rarely,Pass
61,4,Cs,17,Always,Junior,Always,Fail
50,58,Cs,82,Rare,Senior,Rarely,Fail
13,40,Comm,51,Always,Junior,Rarely,Pass
78,30,Polsci,76,Always,Freshman,Rarely,Pass
63,31,Comm,45,Rare,Sophomore,Always,Pass
87,24,Cs,33,Always,Junior,Rarely,Fail
70,85,Comm,48,Always,Sophomore,Rarely,Pass
82,3,Comm,89,Always,Senior,Always,Pass
82,69,Polsci,3,Rare,Sophomore,Always,Fail
25,63,Comm,24,Rare,Junior,Rarely,Fail
30,0,Comm,75,Rare,Junior,Rarely,Pass
16,84,Comm,42,Always,Sophomore,Always,Pass
41,53,Polsci,87,Rare,Sophomore,Always,Pass
35,22,Stat,41,Rare,Freshman,Always,Fail
2,98,Polsci,39,Rare,Junior,Rarely,Pass
7,19,Polsci,28,Rare,Senior,Rarely,Fail
19,31,Comm,62,Rare,Sophomore,Rarely,Pass
7,68,Polsci,63,Rare,Freshman,Always,Pass
26,98,Cs,52,Always,Sophomore,Rarely,Pass
76,33,Cs,85,Always,Freshman,Rarely,Pass
87,41,Cs,37,Rare,Senior,Rarely,Fail
59,46,Stat,53,Always,Junior,Always,Fail
52,61,Stat,50,Rare,Freshman,Always,Fail
37,90,Polsci,3,Rare,Junior,Always,Fail
30,89,Cs,93,Always,Junior,Rarely,Pass
5,7,Stat,13,Always,Junior,Always,Fail
25,97,Comm,98,Rare,Senior,Rarely,Pass
38,66,Polsci,84,Rare,Junior,Rarely,Pass
15,43,Comm,56,Rare,Sophomore,Always,Pass
43,87,Polsci,79,Rare,Sophomore,Always,Pass
0,13,Comm,0,Rare,Freshman,Always,Pass
5,87,Polsci,66,Rare,Senior,Always,Pass
17,71,Polsci,65,Rare,Junior,Rarely,Fail
14,61,Comm,59,Always,Freshman,Always,Pass
52,98,Stat,29,Rare,Sophomore,Always,Pass
39,4,Stat,53,Rare,Junior,Always,Fail
81,34,Comm,64,Rare,Sophomore,Always,Pass
96,77,Stat,3,Rare,Sophomore,Rarely,Fail
64,81,Comm,39,Always,Senior,Rarely,Pass
75,52,Cs,80,Always,Senior,Always,Fail
95,41,Stat,28,Always,Junior,Always,Fail
10,3,Comm,85,Rare,Sophomore,Rarely,Fail
85,18,Polsci,46,Always,Freshman,Rarely,Pass
33,79,Polsci,67,Always,Junior,Rarely,Pass
2,30,Stat,54,Always,Senior,Rarely,Fail
11,47,Cs,52,Always,Sophomore,Rarely,Fail
22,55,Polsci,59,Rare,Senior,Rarely,Pass
73,76,Stat,88,Rare,Junior,Rarely,Pass
41,54,Stat,27,Rare,Sophomore,Always,Fail
38,48,Cs,77,Rare,Senior,Always,Fail
65,3,Comm,77,Rare,Senior,Rarely,Pass
44,81,Polsci,74,Rare,Sophomore,Rarely,Pass
16,25,Stat,57,Always,Freshman,Rarely,Fail
43,86,Comm,81,Rare,Junior,Always,Pass
33,72,Stat,72,Always,Junior,Always,Pass
17,30,Stat,81,Always,Freshman,Always,Fail
56,48,Stat,12,Always,Sophomore,Always,Fail
11,43,Polsci,43,Rare,Junior,Rarely,Fail
20,99,Polsci,83,Rare,Senior,Always,Fail
16,34,Stat,40,Rare,Senior,Always,Fail
28,88,Comm,8,Always,Freshman,Always,Fail
32,82,Cs,95,Rare,Freshman,Rarely,Pass
40,94,Cs,16,Always,Junior,Always,Pass
36,13,Stat,89,Rare,Freshman,Always,Fail
16,69,Cs,11,Rare,Sophomore,Rarely,Fail
94,71,Polsci,62,Rare,Junior,Always,Pass
82,84,Cs,61,Rare,Senior,Rarely,Pass
23,69,Cs,60,Always,Freshman,Rarely,Fail
76,46,Polsci,85,Always,Sophomore,Rarely,Fail
58,33,Polsci,13,Rare,Senior,Rarely,Fail
18,1,Polsci,57,Rare,Freshman,Always,Fail
71,77,Polsci,68,Rare,Freshman,Always,Pass
92,33,Cs,88,Rare,Junior,Always,Fail
14,87,Comm,2,Always,Sophomore,Always,Pass
66,20,Cs,100,Always,Senior,Always,Fail
100,45,Cs,78,Rare,Freshman,Always,Fail
98,97,Stat,92,Rare,Senior,Always,Pass
49,58,Comm,63,Rare,Senior,Always,Fail
90,3,Cs,45,Always,Junior,Rarely,Fail
39,84,Cs,2,Always,Senior,Rarely,Fail
48,66,Stat,23,Rare,Freshman,Always,Fail
91,99,Stat,84,Rare,Senior,Rarely,Pass
7,53,Comm,36,Always,Senior,Always,Pass
87,59,Cs,77,Rare,Sophomore,Rarely,Pass
5,94,Polsci,71,Rare,Junior,Rarely,Pass
85,72,Stat,3,Rare,Senior,Rarely,Fail
23,85,Polsci,87,Rare,Freshman,Always,Pass
85,53,Polsci,23,Rare,Freshman,Always,Fail
10,70,Stat,29,Rare,Senior,Rarely,Fail
20,70,Comm,57,Rare,Senior,Always,Pass
6,32,Comm,17,Always,Junior,Rarely,Fail
39,87,Cs,31,Always,Junior,Rarely,Pass
50,83,Cs,0,Always,Junior,Rarely,Fail
92,22,Comm,1,Rare,Freshman,Rarely,Fail
53,34,Comm,42,Rare,Junior,Rarely,Pass
74,92,Polsci,41,Rare,Junior,Rarely,Pass
76,91,Polsci,41,Always,Senior,Rarely,Pass
71,44,Comm,97,Rare,Freshman,Rarely,Fail
51,41,Stat,7,Always,Freshman,Always,Fail
95,57,Comm,89,Rare,Junior,Rarely,Pass
14,77,Cs,54,Rare,Junior,Always,Pass
22,83,Stat,54,Always,Freshman,Rarely,Pass
97,72,Cs,88,Always,Freshman,Always,Fail
83,70,Polsci,82,Rare,Junior,Rarely,Pass
46,99,Comm,85,Always,Senior,Rarely,Pass
99,89,Comm,46,Rare,Sophomore,Always,Pass
73,61,Polsci,73,Rare,Junior,Rarely,Pass
66,19,Polsci,90,Always,Sophomore,Always,Pass
34,5,Polsci,28,Rare,Junior,Always,Fail
71,51,Cs,13,Always,Sophomore,Always,Fail
33,33,Cs,0,Rare,Junior,Rarely,Fail
85,40,Cs,72,Always,Junior,Always,Fail
3,47,Comm,66,Always,Junior,Rarely,Pass
92,51,Comm,95,Always,Freshman,Always,Pass
10,13,Stat,13,Rare,Senior,Always,Fail
96,0,Cs,65,Rare,Junior,Rarely,Fail
43,56,Stat,12,Rare,Sophomore,Rarely,Fail
93,23,Stat,62,Always,Junior,Always,Fail
85,32,Polsci,58,Always,Junior,Rarely,Pass
74,77,Comm,32,Rare,Junior,Rarely,Pass
13,55,Cs,48,Rare,Freshman,Rarely,Fail
18,54,Stat,53,Rare,Sophomore,Rarely,Fail
84,34,Polsci,98,Always,Sophomore,Rarely,Pass
45,63,Stat,45,Rare,Junior,Rarely,Fail
26,65,Cs,5,Always,Senior,Always,Fail
40,53,Comm,34,Rare,Freshman,Rarely,Fail
39,94,Comm,6,Rare,Sophomore,Always,Pass
83,36,Stat,7,Rare,Freshman,Rarely,Fail
58,37,Comm,68,Rare,Sophomore,Rarely,Pass
71,32,Stat,17,Always,Freshman,Always,Fail
8,36,Comm,93,Always,Sophomore,Always,Pass
84,58,Comm,62,Rare,Sophomore,Always,Pass
43,43,Polsci,62,Rare,Freshman,Always,Pass
6,23,Cs,38,Rare,Sophomore,Always,Fail
53,86,Comm,6,Rare,Freshman,Rarely,Fail
49,34,Comm,29,Rare,Junior,Always,Pass
83,15,Polsci,75,Always,Senior,Always,Pass
32,48,Polsci,24,Rare,Freshman,Rarely,Fail
87,62,Comm,82,Rare,Sophomore,Rarely,Pass
43,75,Cs,7,Rare,Sophomore,Rarely,Pass
11,36,Stat,56,Rare,Senior,Rarely,Fail
48,46,Comm,23,Rare,Junior,Always,Fail
27,40,Polsci,36,Always,Sophomore,Rarely,Pass
9,8,Cs,82,Rare,Freshman,Always,Fail
56,10,Comm,89,Rare,Freshman,Always,Pass
20,98,Polsci,17,Rare,Senior,Rarely,Pass
25,91,Polsci,12,Rare,Junior,Rarely,Pass
29,10,Polsci,57,Rare,Freshman,Always,Fail
18,44,Stat,11,Always,Freshman,Rarely,Fail
4,13,Comm,29,Rare,Senior,Always,Pass
94,96,Cs,46,Always,Sophomore,Rarely,Pass
98,100,Stat,63,Rare,Freshman,Always,Pass
88,54,Cs,64,Always,Freshman,Always,Fail
97,44,Comm,86,Always,Sophomore,Always,Pass
76,78,Cs,51,Always,Sophomore,Rarely,Pass
86,12,Polsci,61,Always,Junior,Always,Pass
91,54,Cs,22,Rare,Junior,Rarely,Fail
14,2,Cs,11,Rare,Junior,Rarely,Fail
61,50,Cs,28,Rare,Freshman,Always,Pass
69,98,Polsci,98,Rare,Sophomore,Always,Pass
29,51,Cs,66,Always,Freshman,Rarely,Fail
26,90,Stat,27,Always,Junior,Always,Pass
12,48,Comm,79,Always,Junior,Always,Pass
29,87,Polsci,75,Rare,Junior,Rarely,Pass
13,0,Comm,0,Rare,Sophomore,Always,Pass
89,92,Cs,22,Rare,Junior,Rarely,Pass
56,55,Cs,96,Always,Sophomore,Rarely,Fail
100,8,Comm,95,Rare,Freshman,Rarely,Pass
28,41,Cs,13,Always,Freshman,Rarely,Fail
62,48,Cs,3,Always,Freshman,Rarely,Fail
76,66,Stat,4,Rare,Sophomore,Rarely,Fail
26,73,Comm,72,Rare,Sophomore,Rarely,Pass
45,14,Comm,73,Rare,Freshman,Rarely,Pass
30,95,Polsci,5,Rare,Sophomore,Rarely,Pass
45,84,Stat,20,Always,Junior,Always,Fail
20,14,Stat,84,Rare,Sophomore,Always,Fail
23,65,Polsci,16,Rare,Senior,Rarely,Fail
73,34,Polsci,97,Rare,Sophomore,Always,Pass
15,91,Stat,55,Always,Sophomore,Rarely,Pass
1,32,Cs,86,Always,Sophomore,Rarely,Fail
99,38,Cs,64,Always,Freshman,Rarely,Pass
5,90,Comm,92,Rare,Senior,Rarely,Pass
46,30,Comm,34,Rare,Sophomore,Always,Fail
93,82,Stat,94,Rare,Freshman,Always,Fail
89,73,Comm,96,Always,Senior,Rarely,Pass
38,86,Stat,90,Rare,Junior,Always,Pass
94,12,Comm,91,Always,Sophomore,Always,Pass
65,7,Stat,43,Rare,Senior,Rarely,Fail
65,4,Stat,43,Rare,Junior,Rarely,Fail
21,8,Polsci,22,Always,Junior,Always,Pass
27,58,Comm,98,Rare,Freshman,Rarely,Pass
20,75,Stat,60,Always,Senior,Always,Pass
16,3,Stat,19,Rare,Sophomore,Always,Fail
85,39,Polsci,62,Rare,Freshman,Rarely,Pass
60,73,Cs,28,Always,Freshman,Always,Fail
72,64,Cs,51,Rare,Junior,Rarely,Fail
52,78,Comm,18,Rare,Senior,Rarely,Fail
10,72,Stat,58,Rare,Senior,Always,Fail
27,81,Stat,51,Rare,Freshman,Rarely,Fail
3,67,Comm,85,Rare,Freshman,Rarely,Pass
70,91,Stat,12,Rare,Sophomore,Always,Fail
91,66,Stat,68,Rare,Freshman,Always,Pass
59,60,Comm,22,Rare,Junior,Always,Pass
36,25,Polsci,11,Always,Freshman,Rarely,Pass
21,91,Cs,75,Rare,Freshman,Rarely,Pass
48,58,Comm,22,Always,Sophomore,Always,Pass
95,25,Stat,93,Always,Senior,Rarely,Fail
42,9,Comm,79,Always,Freshman,Always,Fail
3,12,Comm,3,Always,Sophomore,Always,Pass
39,14,Polsci,88,Rare,Freshman,Always,Fail
95,8,Comm,21,Rare,Freshman,Rarely,Fail
34,73,Comm,2,Rare,Junior,Always,Fail
48,79,Stat,46,Always,Junior,Rarely,Pass
20,56,Comm,49,Always,Senior,Always,Pass
71,48,Comm,98,Always,Senior,Always,Pass
60,91,Stat,69,Always,Senior,Always,Pass
35,48,Polsci,66,Always,Senior,Rarely,Pass
12,72,Cs,46,Always,Junior,Rarely,Fail
65,24,Cs,47,Rare,Junior,Always,Fail
24,56,Stat,11,Always,Senior,Rarely,Fail
41,86,Comm,75,Rare,Senior,Always,Pass
95,46,Stat,40,Rare,Sophomore,Rarely,Fail
18,19,Cs,55,Rare,Senior,Always,Fail
94,7,Stat,3,Always,Freshman,Always,Fail
78,75,Polsci,92,Rare,Freshman,Always,Pass
79,66,Cs,14,Always,Senior,Rarely,Fail
70,0,Comm,94,Always,Freshman,Rarely,Pass
87,77,Stat,10,Rare,Freshman,Always,Fail
49,87,Polsci,93,Rare,Junior,Always,Pass
52,26,Cs,21,Rare,Sophomore,Rarely,Fail
18,83,Stat,82,Always,Freshman,Always,Pass
34,42,Comm,29,Always,Freshman,Always,Fail
89,94,Stat,86,Always,Junior,Always,Fail
90,94,Stat,58,Rare,Freshman,Always,Pass
64,92,Stat,2,Always,Senior,Always,Fail
55,94,Stat,33,Always,Sophomore,Always,Pass
43,93,Comm,59,Always,Freshman,Rarely,Pass
31,71,Comm,16,Always,Freshman,Rarely,Fail
79,76,Comm,49,Always,Freshman,Always,Pass
49,49,Cs,40,Always,Freshman,Always,Fail
93,39,Stat,0,Rare,Junior,Always,Fail
71,90,Stat,45,Rare,Senior,Always,Pass
26,75,Stat,37,Always,Junior,Rarely,Fail
77,12,Polsci,67,Rare,Freshman,Rarely,Fail
10,38,Polsci,86,Rare,Freshman,Always,Fail
85,90,Stat,60,Rare,Junior,Rarely,Fail
55,17,Comm,41,Rare,Sophomore,Rarely,Fail
11,37,Stat,59,Rare,Sophomore,Rarely,Fail
99,52,Polsci,7,Always,Junior,Rarely,Pass
38,39,Stat,34,Rare,Sophomore,Always,Fail
72,96,Polsci,79,Rare,Freshman,Rarely,Pass
58,53,Cs,42,Always,Freshman,Rarely,Fail
11,25,Polsci,33,Always,Freshman,Always,Pass
34,27,Cs,62,Rare,Junior,Always,Fail
93,17,Polsci,97,Rare,Junior,Rarely,Pass
13,30,Cs,77,Rare,Senior,Rarely,Fail
99,27,Comm,29,Always,Junior,Rarely,Fail
87,24,Polsci,78,Rare,Sophomore,Always,Pass
47,56,Stat,36,Always,Freshman,Always,Fail
3,29,Polsci,74,Rare,Senior,Always,Fail
87,68,Cs,20,Rare,Junior,Always,Fail
4,100,Stat,79,Always,Freshman,Always,Fail
40,27,Polsci,48,Rare,Sophomore,Rarely,Fail
59,63,Cs,52,Always,Junior,Always,Fail
92,68,Stat,15,Rare,Sophomore,Always,Fail
65,82,Comm,81,Rare,Freshman,Always,Pass
69,45,Cs,17,Always,Junior,Rarely,Fail
28,94,Comm,51,Rare,Sophomore,Rarely,Pass
89,80,Stat,82,Rare,Junior,Always,Pass
24,65,Polsci,30,Rare,Junior,Rarely,Fail
24,68,Comm,1,Rare,Sophomore,Rarely,Fail
50,93,Comm,48,Rare,Junior,Always,Pass
86,12,Cs,93,Rare,Junior,Always,Fail
41,74,Stat,38,Rare,Freshman,Rarely,Fail
47,67,Stat,51,Always,Sophomore,Always,Fail
85,47,Polsci,92,Always,Junior,Rarely,Pass
50,35,Stat,62,Rare,Senior,Always,Fail
6,78,Cs,21,Rare,Sophomore,Always,Pass
11,4,Polsci,6,Always,Freshman,Always,Pass
14,15,Cs,29,Rare,Freshman,Rarely,Fail
95,29,Cs,68,Always,Junior,Rarely,Fail
10,97,Comm,70,Always,Sophomore,Rarely,Pass
18,37,Cs,61,Rare,Junior,Always,Fail
39,29,Stat,4,Rare,Freshman,Rarely,Fail
19,78,Stat,68,Always,Sophomore,Rarely,Pass
20,2,Stat,92,Always,Junior,Rarely,Fail
97,66,Comm,13,Rare,Sophomore,Rarely,Fail
13,100,Comm,82,Always,Freshman,Always,Pass
57,34,Polsci,38,Always,Senior,Always,Pass
87,95,Comm,70,Always,Senior,Rarely,Pass
17,16,Comm,22,Rare,Sophomore,Always,Pass
3,44,Comm,74,Rare,Freshman,Always,Pass
48,26,Polsci,50,Always,Sophomore,Rarely,Pass
37,24,Polsci,23,Always,Sophomore,Rarely,Pass
61,10,Cs,81,Always,Junior,Always,Fail
68,4,Polsci,9,Rare,Junior,Rarely,Fail
83,73,Cs,53,Rare,Junior,Always,Fail
76,92,Stat,30,Rare,Junior,Always,Fail
36,98,Stat,39,Rare,Sophomore,Rarely,Pass
9,81,Stat,56,Rare,Senior,Rarely,Pass
19,85,Cs,97,Always,Freshman,Always,Pass
22,79,Comm,12,Always,Junior,Rarely,Fail
81,59,Stat,64,Always,Sophomore,Rarely,Fail
57,42,Comm,83,Always,Junior,Rarely,Pass
93,60,Polsci,7,Always,Senior,Always,Pass
54,14,Polsci,0,Rare,Sophomore,Always,Fail
69,36,Polsci,33,Always,Senior,Rarely,Pass
56,55,Comm,35,Rare,Senior,Rarely,Fail
67,39,Stat,15,Rare,Freshman,Rarely,Fail
47,86,Comm,41,Always,Junior,Always,Pass
6,94,Comm,49,Rare,Freshman,Always,Pass
88,5,Comm,38,Rare,Junior,Rarely,Fail
66,69,Stat,72,Rare,Sophomore,Rarely,Fail
19,79,Cs,82,Rare,Sophomore,Rarely,Pass
38,11,Stat,67,Always,Junior,Always,Fail
27,56,Stat,4,Always,Junior,Always,Fail
11,25,Polsci,86,Always,Sophomore,Always,Fail
21,86,Comm,62,Rare,Freshman,Always,Pass
28,56,Polsci,46,Always,Sophomore,Rarely,Fail
27,58,Cs,81,Always,Junior,Always,Fail
56,69,Comm,17,Always,Senior,Rarely,Fail
2,14,Stat,54,Rare,Freshman,Rarely,Fail
75,34,Comm,90,Always,Sophomore,Rarely,Pass
93,75,Stat,1,Always,Freshman,Always,Fail
58,60,Comm,20,Always,Senior,Rarely,Fail
97,77,Comm,43,Always,Sophomore,Always,Pass
18,43,Stat,64,Always,Junior,Rarely,Fail
67,83,Cs,11,Rare,Sophomore,Always,Pass
0,20,Cs,97,Always,Sophomore,Always,Fail
100,75,Cs,29,Always,Sophomore,Rarely,Pass
64,24,Comm,78,Rare,Sophomore,Always,Pass
44,58,Stat,3,Rare,Junior,Rarely,Fail
22,17,Comm,96,Rare,Senior,Always,Pass
27,70,Comm,32,Always,Senior,Always,Pass
81,93,Polsci,43,Rare,Sophomore,Rarely,Fail
80,24,Comm,34,Rare,Freshman,Always,Pass
76,51,Stat,24,Rare,Junior,Rarely,Fail
8,1,Polsci,79,Always,Sophomore,Always,Pass
34,43,Cs,70,Always,Sophomore,Always,Fail
12,64,Polsci,58,Rare,Senior,Rarely,Pass
54,27,Stat,91,Always,Senior,Always,Fail
35,87,Polsci,69,Always,Sophomore,Always,Fail
1,55,Cs,26,Always,Senior,Always,Fail
4,31,Stat,69,Always,Sophomore,Rarely,Fail
89,59,Polsci,17,Rare,Senior,Always,Fail
16,85,Stat,45,Always,Senior,Rarely,Fail
66,3,Cs,4,Always,Sophomore,Rarely,Fail
85,79,Cs,84,Rare,Junior,Always,Pass
23,92,Polsci,99,Always,Senior,Always,Pass
65,73,Stat,42,Always,Sophomore,Rarely,Fail
88,95,Polsci,57,Rare,Freshman,Always,Pass
41,12,Comm,68,Always,Senior,Always,Pass
58,84,Cs,60,Rare,Senior,Rarely,Pass
22,98,Polsci,32,Rare,Senior,Always,Pass
75,11,Cs,69,Rare,Freshman,Always,Fail
81,11,Cs,1,Rare,Junior,Always,Fail
58,40,Polsci,58,Always,Sophomore,Rarely,Pass
72,36,Stat,88,Always,Senior,Rarely,Fail
75,26,Comm,58,Rare,Junior,Rarely,Pass
43,28,Comm,52,Rare,Freshman,Rarely,Pass
39,26,Comm,14,Always,Junior,Rarely,Fail
5,91,Polsci,85,Rare,Freshman,Always,Fail
93,78,Polsci,70,Always,Senior,Rarely,Pass
90,77,Comm,15,Always,Senior,Always,Fail
8,4,Cs,53,Always,Freshman,Rarely,Fail
50,92,Polsci,71,Always,Junior,Rarely,Pass
25,37,Stat,99,Rare,Sophomore,Always,Pass
53,47,Polsci,0,Always,Sophomore,Rarely,Fail
18,24,Stat,62,Always,Junior,Always,Fail
55,98,Cs,38,Rare,Freshman,Rarely,Pass
73,59,Stat,49,Always,Freshman,Rarely,Fail
69,73,Cs,54,Always,Junior,Always,Fail
12,93,Comm,47,Rare,Freshman,Always,Pass
53,82,Polsci,32,Rare,Sophomore,Rarely,Pass
28,33,Stat,13,Always,Sophomore,Always,Fail
2,35,Cs,91,Always,Senior,Always,Fail
53,53,Polsci,5,Rare,Sophomore,Rarely,Fail
38,14,Stat,31,Always,Senior,Always,Fail
97,77,Polsci,3,Always,Sophomore,Always,Pass
60,55,Comm,40,Always,Freshman,Always,Pass
33,82,Cs,7,Rare,Sophomore,Rarely,Pass
93,57,Stat,22,Rare,Junior,Always,Fail
92,8,Stat,70,Rare,Sophomore,Rarely,Fail
82,46,Polsci,39,Always,Freshman,Always,Pass
37,14,Cs,3,Always,Junior,Always,Fail
69,38,Comm,46,Rare,Sophomore,Rarely,Pass
22,67,Comm,44,Rare,Freshman,Always,Pass
21,28,Polsci,12,Always,Sophomore,Rarely,Pass
57,45,Cs,44,Always,Freshman,Rarely,Fail
94,44,Polsci,72,Always,Sophomore,Rarely,Pass
38,42,Stat,14,Rare,Senior,Rarely,Fail
93,95,Stat,77,Rare,Junior,Always,Pass
78,49,Polsci,78,Always,Freshman,Rarely,Pass
60,1,Comm,94,Rare,Senior,Rarely,Fail
32,3,Stat,64,Always,Junior,Always,Fail
22,68,Polsci,68,Rare,Freshman,Always,Pass
58,39,Stat,15,Rare,Sophomore,Always,Fail
20,14,Stat,24,Always,Freshman,Rarely,Fail
40,94,Cs,43,Always,Junior,Rarely,Pass
30,37,Polsci,76,Rare,Sophomore,Rarely,Pass
5,25,Comm,78,Always,Sophomore,Always,Pass
38,92,Stat,42,Always,Sophomore,Always,Pass
14,46,Stat,92,Rare,Sophomore,Rarely,Pass
24,80,Cs,21,Always,Freshman,Rarely,Fail
89,43,Comm,64,Always,Senior,Always,Fail
50,91,Cs,37,Always,Junior,Rarely,Pass
20,20,Comm,33,Always,Junior,Always,Fail
77,22,Polsci,98,Rare,Junior,Rarely,Pass
28,23,Cs,44,Rare,Freshman,Always,Fail
93,77,Stat,100,Rare,Senior,Always,Pass
34,38,Cs,27,Rare,Sophomore,Rarely,Fail
27,58,Cs,61,Always,Junior,Always,Fail
20,36,Stat,8,Rare,Junior,Rarely,Fail
55,88,Polsci,56,Rare,Freshman,Always,Pass
82,52,Comm,41,Always,Senior,Rarely,Pass
3,28,Comm,24,Always,Junior,Always,Pass
97,13,Comm,94,Always,Senior,Always,Pass
7,0,Polsci,29,Always,Senior,Always,Pass
2,51,Comm,55,Always,Senior,Always,Pass
97,92,Stat,18,Always,Senior,Always,Fail
97,53,Comm,55,Rare,Junior,Rarely,Pass
63,97,Polsci,4,Always,Freshman,Always,Pass
11,42,Cs,100,Always,Freshman,Always,Fail
54,61,Comm,1,Rare,Sophomore,Rarely,Fail
39,39,Stat,62,Always,Freshman,Rarely,Fail
63,64,Stat,57,Rare,Sophomore,Rarely,Fail
30,32,Comm,0,Always,Freshman,Rarely,Fail
80,13,Stat,41,Rare,Freshman,Always,Fail
86,73,Comm,23,Rare,Freshman,Always,Fail
71,35,Comm,65,Always,Sophomore,Always,Pass
28,99,Comm,13,Always,Freshman,Always,Pass
27,56,Stat,6,Rare,Sophomore,Always,Fail
97,44,Comm,17,Always,Junior,Rarely,Fail
9,2,Cs,58,Rare,Sophomore,Rarely,Fail
32,74,Polsci,75,Always,Junior,Always,Fail
62,50,Stat,93,Always,Senior,Always,Pass
22,8,Polsci,86,Rare,Freshman,Always,Fail
60,95,Polsci,59,Always,Junior,Always,Pass
41,98,Stat,26,Rare,Freshman,Always,Fail
76,61,Comm,66,Rare,Senior,Always,Fail
61,51,Cs,68,Rare,Senior,Rarely,Fail
4,43,Comm,48,Always,Senior,Always,Pass
11,50,Stat,99,Rare,Sophomore,Always,Fail
13,15,Polsci,37,Always,Senior,Always,Pass
0,72,Comm,90,Always,Sophomore,Rarely,Pass
31,50,Cs,37,Always,Freshman,Always,Fail
46,40,Comm,45,Rare,Junior,Always,Pass
17,94,Cs,49,Always,Sophomore,Always,Pass
45,41,Polsci,26,Rare,Junior,Rarely,Fail
16,59,Comm,50,Always,Freshman,Rarely,Pass
45,26,Stat,54,Always,Junior,Rarely,Fail
54,46,Stat,21,Always,Junior,Rarely,Fail
97,1,Comm,20,Rare,Sophomore,Always,Pass
29,20,Polsci,63,Always,Senior,Rarely,Pass
42,0,Comm,23,Rare,Junior,Always,Pass
15,1,Comm,98,Always,Senior,Rarely,Pass
28,87,Cs,1,Rare,Sophomore,Always,Pass
3,74,Comm,7,Always,Freshman,Always,Pass
100,100,Stat,88,Rare,Junior,Rarely,Pass
65,35,Polsci,96,Always,Junior,Always,Pass
24,43,Stat,93,Rare,Sophomore,Always,Pass
69,90,Stat,28,Always,Sophomore,Rarely,Pass
29,71,Comm,66,Always,Senior,Rarely,Pass
77,50,Cs,24,Rare,Junior,Rarely,Fail
59,21,Polsci,94,Rare,Freshman,Always,Pass
48,37,Polsci,84,Rare,Sophomore,Rarely,Pass
16,85,Polsci,70,Rare,Freshman,Rarely,Fail
23,41,Stat,15,Always,Freshman,Always,Fail
9,4,Polsci,97,Always,Senior,Rarely,Pass
92,28,Polsci,0,Always,Freshman,Rarely,Pass
29,51,Stat,35,Always,Freshman,Rarely,Fail
80,61,Comm,34,Always,Senior,Rarely,Fail
56,39,Comm,76,Always,Freshman,Rarely,Pass
24,100,Cs,7,Always,Sophomore,Always,Pass
80,16,Stat,1,Rare,Senior,Rarely,Fail
