Connections,Education,GPA,GradYear,Earnings
56,Professional,3,1955,11700
22,Stem,1,2020,9900
67,Business,2,1989,10005
20,Business,1,1970,10103
72,Other,0,1914,5684
70,Vocational,2,1981,13200
9,Professional,2,1908,11800
15,Business,1,2020,10102
46,Other,2,1970,2616
55,Other,3,1962,3525
93,Humanities,4,1975,10400
62,Humanities,2,2005,20200
71,Professional,3,1938,11700
88,Business,0,1952,10008
4,Vocational,3,2013,12700
30,Professional,1,2016,11900
85,Other,0,1961,7725
95,Stem,4,1937,20400
9,Business,2,1944,10206
17,Humanities,1,1968,10100
75,Professional,4,1933,11600
73,Business,3,1983,10006
39,Vocational,4,2009,13400
22,Business,4,1957,10004
85,Stem,2,1975,9800
16,Professional,4,1934,11600
77,Business,0,1905,10008
88,Stem,3,1962,20300
61,Stem,3,1902,20300
17,Stem,1,1934,9900
41,Business,4,1968,10404
5,Humanities,0,1968,10000
96,Professional,0,1931,12000
93,Vocational,1,2020,13100
92,Professional,4,1920,11600
85,Other,4,1994,7725
61,Professional,2,1929,11800
60,Humanities,1,1929,10100
25,Stem,2,1979,9800
93,Stem,3,1934,20300
72,Stem,2,1960,9800
62,Professional,1,1953,11900
61,Humanities,4,1961,10400
68,Business,3,2008,10304
2,Stem,3,1972,20300
21,Vocational,0,2002,13000
23,Humanities,3,1971,10300
96,Business,0,1968,10002
59,Other,0,1962,3981
56,Business,0,1933,10005
46,Vocational,0,1961,13000
16,Professional,4,1927,11600
85,Vocational,3,1984,13300
69,Humanities,1,1990,10100
74,Vocational,2,1931,13200
84,Other,0,1956,7556
92,Professional,4,1990,11600
60,Professional,1,1939,11900
67,Other,4,1911,4989
56,Other,1,1960,3636
28,Business,3,1959,10006
33,Business,2,1995,10007
47,Business,2,2020,10205
55,Other,3,1971,3525
61,Humanities,3,2018,20300
28,Other,2,1906,1284
1,Other,3,1961,501
91,Vocational,4,1994,13400
83,Other,1,1956,7389
10,Stem,4,1961,20400
42,Professional,3,1982,11700
56,Professional,2,1995,11800
98,Business,4,2015,10007
97,Stem,4,1991,20400
63,Professional,4,1949,11600
100,Other,2,2002,10500
36,Business,2,1909,10005
96,Stem,0,1920,10000
2,Humanities,0,1987,10000
35,Stem,3,2006,20300
88,Stem,3,1939,20300
68,Professional,4,1989,11600
35,Professional,4,1993,11600
30,Vocational,1,1996,13100
89,Humanities,1,2020,20100
41,Professional,1,1965,11900
82,Humanities,3,1927,10300
7,Humanities,0,1918,10000
88,Stem,0,1956,10000
64,Humanities,1,1948,10100
63,Stem,1,1957,9900
86,Vocational,1,1938,13100
53,Professional,1,1938,11900
48,Professional,2,1927,11800
73,Vocational,2,1938,13200
82,Stem,1,1994,9900
24,Vocational,2,1988,13200
48,Other,4,2009,2804
37,Other,4,1926,1869
8,Professional,3,1916,11700
89,Other,0,1987,8421
50,Other,4,1940,3000
6,Stem,1,1932,9900
5,Stem,3,1994,20300
23,Business,3,1900,10306
38,Other,2,1918,1944
83,Vocational,2,1956,13200
18,Humanities,3,1928,10300
99,Stem,2,1913,9800
61,Business,3,1919,10009
72,Other,4,1921,5684
26,Business,3,1952,10305
44,Vocational,1,1934,13100
32,Other,1,1963,1524
77,Humanities,0,2017,20000
80,Stem,0,1904,10000
45,Business,4,2018,10404
51,Humanities,0,1949,10000
78,Professional,1,2011,11900
89,Business,4,1996,10402
31,Vocational,4,1989,13400
74,Stem,3,1950,20300
90,Stem,1,1907,9900
81,Humanities,2,1974,10200
100,Humanities,4,1979,10400
44,Humanities,0,1916,10000
67,Humanities,1,1917,10100
31,Vocational,1,2007,13100
24,Business,4,1980,10403
38,Stem,2,2020,9800
32,Stem,0,1944,10000
22,Humanities,2,1961,10200
73,Stem,4,1987,20400
62,Humanities,4,1994,10400
87,Business,1,1915,10004
53,Professional,3,2005,11700
10,Stem,3,1966,20300
68,Stem,4,2000,20400
12,Vocational,2,2006,13200
75,Professional,2,1926,11800
49,Humanities,4,1964,10400
65,Business,0,1919,10008
60,Other,4,1915,4100
29,Professional,0,1960,12000
38,Other,2,1934,1944
86,Professional,4,1935,11600
98,Professional,4,1946,11600
98,Vocational,0,1955,13000
1,Other,1,1966,501
16,Other,0,1947,756
81,Humanities,1,1993,10100
22,Vocational,0,2016,13000
32,Other,1,1995,1524
48,Humanities,3,1954,10300
50,Stem,1,1943,9900
62,Business,3,1990,10306
54,Other,4,1910,3416
19,Stem,4,2012,20400
78,Professional,0,1965,12000
88,Humanities,3,2007,20300
98,Other,0,1995,10104
17,Vocational,0,1905,13000
45,Stem,2,1923,9800
61,Stem,3,2017,20300
66,Other,2,2002,4856
10,Stem,2,2000,9800
49,Stem,4,2013,20400
9,Humanities,1,1976,10100
55,Professional,1,1995,11900
75,Business,3,1991,10002
47,Professional,0,2016,12000
3,Stem,3,1980,20300
19,Professional,3,1989,11700
64,Other,3,1972,4596
59,Other,3,1985,3981
33,Stem,4,1989,20400
2,Vocational,1,2006,12900
74,Stem,3,1962,20300
53,Other,2,1994,3309
29,Humanities,1,1988,10100
65,Vocational,4,1949,13400
62,Business,4,1991,10002
94,Vocational,0,1930,13000
63,Vocational,0,1941,13000
45,Vocational,2,2001,13200
88,Other,3,2012,8244
93,Humanities,4,1917,10400
83,Professional,4,1933,11600
23,Business,3,2011,10008
87,Business,4,1912,10407
74,Vocational,4,1954,13400
66,Professional,4,2006,11600
67,Vocational,4,1979,13400
0,Professional,0,1907,12000
84,Business,3,1929,10004
32,Professional,0,1948,12000
73,Stem,1,1982,9900
18,Stem,0,1910,10000
23,Other,2,2017,1029
28,Stem,2,1957,9800
76,Professional,3,1990,11700
2,Vocational,0,1910,13000
83,Business,1,2006,10102
76,Business,1,2012,10109
63,Other,1,2001,4469
67,Business,2,1954,10204
44,Humanities,2,1957,10200
44,Stem,4,2010,20400
92,Stem,0,1930,10000
1,Stem,3,1962,20300
30,Vocational,4,1996,13400
99,Stem,3,1921,20300
37,Business,3,1970,10303
67,Other,1,1900,4989
8,Professional,4,1928,11600
48,Business,0,1914,10007
10,Business,4,2001,10005
34,Professional,4,1993,11600
89,Business,2,2013,10008
43,Professional,3,1991,11700
24,Other,2,1922,1076
92,Vocational,0,1940,13000
57,Professional,4,1944,11600
14,Humanities,4,1981,10400
51,Vocational,0,2016,13000
70,Other,4,1978,5400
2,Stem,0,1996,10000
64,Humanities,2,2019,20200
42,Professional,3,1910,11700
77,Business,2,1951,10007
31,Vocational,2,1985,13200
39,Professional,2,1950,11800
47,Humanities,1,1972,10100
36,Stem,4,1943,20400
29,Other,2,1949,1341
53,Professional,4,1972,11600
76,Vocational,3,1999,13300
86,Humanities,0,1940,10000
21,Professional,1,1913,11900
100,Other,3,1974,10500
60,Humanities,0,1924,10000
55,Business,1,1975,10005
88,Vocational,0,1994,13000
83,Humanities,0,1906,10000
83,Other,4,2018,7389
89,Business,4,1971,10009
97,Professional,4,1968,11600
74,Other,3,1929,5976
89,Other,0,1930,8421
57,Humanities,3,1938,10300
59,Stem,2,1921,9800
55,Other,2,1978,3525
12,Stem,4,1937,20400
27,Other,2,1916,1229
40,Vocational,4,1958,13400
37,Other,2,2018,1869
63,Business,1,1900,10106
29,Other,4,1934,1341
86,Humanities,2,1963,10200
78,Other,4,1974,6584
71,Stem,1,1934,9900
6,Stem,0,1903,10000
68,Professional,2,1959,11800
50,Other,1,1973,3000
6,Humanities,1,1949,10100
64,Other,2,1921,4596
45,Humanities,2,1905,10200
23,Vocational,0,1901,13000
32,Stem,1,2006,9900
26,Vocational,1,1940,13100
51,Stem,1,2001,9900
17,Other,3,1959,789
30,Vocational,4,1916,13400
92,Stem,3,2016,20300
87,Stem,1,1954,9900
17,Vocational,4,1975,13400
90,Humanities,0,1933,10000
2,Humanities,4,2011,20400
74,Humanities,2,2015,20200
84,Other,0,1984,7556
83,Professional,2,1947,11800
49,Vocational,2,1947,13200
89,Vocational,4,1968,13400
1,Professional,2,1994,11800
84,Other,0,1990,7556
56,Stem,3,1939,20300
75,Stem,2,2011,9800
75,Humanities,0,1907,10000
82,Humanities,3,2013,20300
20,Other,1,1986,900
17,Stem,0,2011,10000
2,Humanities,4,1904,10400
34,Business,3,1958,10305
93,Other,1,1904,9149
13,Humanities,1,1915,10100
60,Vocational,1,1990,13100
28,Stem,3,1990,20300
17,Other,3,2003,789
10,Vocational,0,2006,13000
63,Vocational,4,1995,13400
14,Stem,1,1919,9900
72,Stem,0,1975,10000
71,Vocational,4,1914,13400
2,Stem,3,1945,20300
32,Vocational,0,1981,13000
24,Professional,3,1931,11700
53,Business,4,2002,10407
57,Professional,3,1940,11700
92,Other,0,1906,8964
16,Other,4,1971,756
94,Other,2,1995,9336
45,Other,0,2020,2525
29,Other,3,2003,1341
30,Professional,2,1989,11800
37,Stem,1,1999,9900
40,Humanities,4,1979,10400
44,Other,4,1943,2436
60,Vocational,1,1903,13100
40,Business,3,1951,10004
27,Stem,3,2000,20300
1,Professional,2,1935,11800
69,Business,0,1907,10003
17,Stem,2,1934,9800
79,Business,3,1918,10304
5,Professional,2,1952,11800
73,Humanities,4,1905,10400
97,Vocational,3,1932,13300
96,Business,2,1990,10203
21,Stem,1,2007,9900
22,Other,0,1901,984
20,Professional,0,1940,12000
28,Professional,2,1903,11800
48,Professional,3,1929,11700
8,Humanities,0,1983,10000
8,Humanities,3,2018,20300
28,Stem,4,2011,20400
75,Humanities,3,1932,10300
42,Humanities,2,2004,20200
83,Professional,3,1917,11700
61,Other,3,2006,4221
16,Professional,0,1980,12000
28,Stem,2,1919,9800
89,Other,0,1992,8421
42,Humanities,1,1974,10100
39,Professional,1,1947,11900
81,Vocational,2,1960,13200
57,Business,0,1939,10005
98,Vocational,3,1936,13300
34,Humanities,0,1965,10000
38,Professional,3,1931,11700
57,Humanities,0,1936,10000
65,Vocational,1,1983,13100
34,Professional,3,1900,11700
7,Humanities,2,1923,10200
81,Business,0,1984,10009
79,Vocational,3,1955,13300
95,Humanities,4,2016,20400
55,Stem,0,1910,10000
93,Professional,1,1955,11900
54,Business,2,1945,10005
11,Other,4,1994,621
42,Humanities,1,1974,10100
93,Humanities,4,2011,20400
5,Humanities,3,1965,10300
64,Other,4,2010,4596
95,Vocational,0,1925,13000
32,Professional,2,1942,11800
68,Professional,0,2009,12000
87,Other,2,2008,8069
5,Professional,3,1940,11700
1,Stem,2,1963,9800
65,Humanities,2,1936,10200
84,Business,2,1971,10007
14,Stem,2,1921,9800
91,Professional,3,1964,11700
82,Humanities,4,1974,10400
16,Humanities,4,1946,10400
97,Business,3,1912,10304
89,Professional,1,1933,11900
74,Vocational,3,1999,13300
67,Professional,1,2018,11900
16,Other,0,1938,756
30,Stem,2,1951,9800
61,Other,1,1979,4221
100,Other,3,1982,10500
32,Humanities,0,1945,10000
15,Vocational,2,2015,13200
37,Business,4,2001,10006
79,Other,2,1974,6741
87,Vocational,1,1968,13100
4,Business,1,1999,10005
71,Humanities,2,2015,20200
21,Stem,1,1942,9900
56,Other,0,1947,3636
84,Vocational,3,1917,13300
79,Vocational,1,1989,13100
83,Vocational,0,1948,13000
77,Vocational,1,1936,13100
80,Humanities,2,1988,10200
19,Stem,1,2003,9900
0,Humanities,3,1988,10300
100,Professional,0,1906,12000
77,Professional,2,1905,11800
75,Humanities,1,1992,10100
76,Business,1,1990,10103
9,Professional,4,2017,11600
51,Other,3,1947,3101
54,Other,1,1944,3416
45,Stem,3,2004,20300
54,Vocational,0,2001,13000
55,Business,4,1987,10002
7,Vocational,4,2017,13400
45,Vocational,1,1916,13100
2,Other,0,1919,504
77,Business,2,1940,10204
78,Vocational,4,1954,13400
79,Vocational,0,1973,13000
7,Business,4,2006,10409
75,Professional,2,1955,11800
2,Business,3,1994,10306
93,Humanities,2,1978,10200
57,Vocational,3,1907,13300
80,Vocational,1,1946,13100
57,Humanities,4,1951,10400
12,Other,4,1987,644
81,Other,4,1993,7061
34,Other,2,1982,1656
91,Stem,1,1987,9900
89,Humanities,2,1901,10200
96,Professional,0,1982,12000
20,Professional,0,1922,12000
60,Vocational,2,2017,13200
44,Humanities,3,2007,20300
74,Vocational,3,1903,13300
80,Humanities,4,2010,20400
78,Humanities,4,1929,10400
99,Business,2,1935,10005
99,Other,3,1979,10301
24,Vocational,2,1908,13200
14,Professional,1,1964,11900
22,Business,4,2005,10009
84,Stem,3,1980,20300
28,Humanities,2,2018,20200
40,Business,3,1995,10004
87,Professional,3,1999,11700
20,Professional,2,1946,11800
59,Professional,3,1907,11700
78,Vocational,0,1996,13000
62,Business,1,1931,10007
39,Vocational,4,1954,13400
62,Vocational,4,1945,13400
99,Stem,2,1955,9800
61,Business,0,1902,10007
7,Vocational,0,1923,13000
54,Business,0,1952,10002
45,Stem,3,2000,20300
60,Other,3,1931,4100
92,Business,0,1914,10008
56,Other,3,1964,3636
17,Business,1,1926,10107
23,Humanities,0,1974,10000
93,Other,0,1904,9149
74,Vocational,2,1920,13200
46,Professional,4,1952,11600
43,Vocational,3,1978,13300
96,Humanities,1,2004,20100
9,Other,2,1952,581
80,Vocational,4,2018,13400
1,Humanities,4,2016,20400
69,Humanities,1,1985,10100
1,Professional,4,1972,11600
11,Professional,1,1926,11900
23,Professional,2,1995,11800
63,Stem,2,1914,9800
69,Business,2,1986,10209
61,Professional,1,2013,11900
55,Vocational,1,2000,13100
77,Professional,3,1981,11700
82,Other,1,2005,7224
76,Vocational,0,1967,13000
10,Stem,0,1958,10000
54,Business,2,2011,10006
71,Humanities,1,1958,10100
88,Other,4,1923,8244
43,Business,1,1950,10106
29,Business,2,1955,10005
34,Stem,3,1902,20300
100,Vocational,4,2018,13400
37,Humanities,3,1990,10300
59,Professional,3,1928,11700
70,Humanities,3,1916,10300
96,Humanities,2,1932,10200
83,Other,4,1986,7389
26,Other,2,1908,1176
32,Business,1,1951,10007
77,Other,0,1997,6429
12,Other,4,2015,644
85,Humanities,1,1970,10100
48,Business,1,1933,10004
67,Vocational,3,1935,13300
11,Business,1,1901,10004
77,Business,0,2016,10009
43,Humanities,4,1933,10400
32,Stem,2,1934,9800
54,Business,3,1945,10006
47,Other,1,1921,2709
55,Vocational,1,1998,13100
75,Professional,2,2016,11800
90,Professional,3,1974,11700
27,Other,1,1938,1229
38,Business,2,1907,10002
2,Professional,1,1967,11900
54,Stem,4,1928,20400
93,Professional,1,1937,11900
88,Other,2,1983,8244
10,Business,3,1966,10308
13,Stem,4,1933,20400
40,Other,4,2019,2100
85,Professional,2,1993,11800
11,Vocational,1,1990,13100
83,Humanities,1,1907,10100
16,Other,4,1956,756
92,Stem,1,2005,9900
27,Professional,1,1950,11900
53,Other,3,1917,3309
6,Vocational,3,1933,13300
32,Vocational,3,1904,13300
51,Professional,0,1999,12000
92,Other,4,1998,8964
83,Business,1,1958,10103
53,Stem,3,1905,20300
57,Vocational,2,1998,13200
32,Humanities,4,1919,10400
82,Professional,3,2002,11700
30,Humanities,1,1947,10100
92,Professional,1,1954,11900
4,Professional,4,1978,11600
89,Other,2,1945,8421
95,Other,0,1957,9525
2,Vocational,3,1994,12700
27,Business,2,1991,10005
48,Stem,1,1980,9900
6,Professional,0,2014,12000
40,Vocational,3,2015,13300
44,Professional,3,2008,11700
58,Business,2,1912,10209
69,Other,0,1916,5261
48,Business,3,2008,10306
48,Professional,2,1943,11800
88,Stem,3,1952,20300
11,Stem,1,1917,9900
3,Vocational,2,1970,12800
28,Vocational,0,2015,13000
88,Humanities,3,2019,20300
60,Humanities,4,1982,10400
45,Vocational,4,1913,13400
3,Business,2,2004,10202
32,Vocational,4,1975,13400
7,Other,0,1979,549
96,Other,1,1986,9716
0,Professional,4,1983,11600
0,Humanities,3,1929,10300
80,Other,2,1959,6900
57,Business,0,1975,10006
39,Business,1,1921,10002
0,Stem,3,1906,20300
23,Business,4,1927,10002
97,Stem,0,1934,10000
83,Professional,0,1966,12000
23,Other,2,2017,1029
39,Other,2,1948,2021
89,Humanities,3,1949,10300
49,Stem,4,1974,20400
92,Humanities,1,2015,20100
48,Humanities,0,1976,10000
36,Stem,0,1959,10000
20,Business,0,1980,10007
64,Vocational,1,1949,13100
100,Stem,4,1926,20400
51,Vocational,0,1927,13000
26,Other,4,1944,1176
18,Business,1,1902,10109
51,Business,1,1904,10106
26,Stem,0,1985,10000
88,Vocational,1,1905,13100
51,Professional,2,1981,11800
84,Business,2,1995,10008
100,Humanities,4,2002,20400
62,Other,2,1955,4344
71,Other,2,2020,5541
25,Professional,3,2001,11700
80,Stem,3,1959,20300
27,Stem,1,1943,9900
84,Vocational,4,1947,13400
80,Business,0,1921,10003
37,Other,2,1967,1869
56,Vocational,2,1992,13200
100,Professional,2,2007,11800
11,Vocational,3,2008,13300
38,Humanities,3,1909,10300
61,Stem,1,1968,9900
64,Business,4,1975,10009
46,Vocational,0,2011,13000
83,Stem,0,2007,10000
79,Vocational,2,1963,13200
16,Professional,0,1982,12000
88,Professional,0,1934,12000
10,Humanities,2,1986,10200
2,Humanities,2,1900,10200
20,Stem,2,1928,9800
63,Humanities,0,2004,20000
33,Professional,3,1997,11700
85,Vocational,4,1946,13400
45,Humanities,4,1997,10400
7,Vocational,4,1949,13400
26,Business,3,1994,10302
78,Business,3,1950,10304
20,Business,3,1972,10305
19,Humanities,0,1932,10000
29,Stem,0,2002,10000
94,Stem,3,1996,20300
85,Humanities,0,1993,10000
87,Other,0,1999,8069
72,Professional,1,2017,11900
30,Other,2,1909,1400
91,Stem,1,1989,9900
24,Professional,3,2014,11700
7,Other,1,1980,549
84,Professional,2,1903,11800
53,Vocational,4,1988,13400
20,Vocational,3,1955,13300
31,Humanities,2,1952,10200
49,Humanities,3,1995,10300
100,Other,1,1955,10500
63,Business,4,1963,10006
99,Stem,3,2020,20300
73,Professional,1,1920,11900
55,Humanities,1,2000,20100
86,Other,0,1983,7896
4,Stem,3,2010,20300
20,Other,4,1978,900
7,Professional,3,1927,11700
53,Other,0,2020,3309
27,Business,2,1951,10008
28,Stem,2,2014,9800
80,Stem,3,1970,20300
6,Humanities,4,2011,20400
3,Business,0,1964,10002
36,Professional,2,1981,11800
95,Humanities,1,2002,20100
38,Business,3,1911,10002
70,Other,1,2019,5400
40,Professional,4,1952,11600
32,Professional,4,2019,11600
67,Professional,2,1988,11800
61,Vocational,4,1953,13400
55,Other,0,1908,3525
4,Business,4,2000,10409
98,Business,3,1925,10004
10,Professional,0,2019,12000
75,Vocational,0,2017,13000
52,Business,1,2015,10003
80,Business,2,1973,10005
98,Other,2,1925,10104
80,Stem,2,1930,9800
34,Stem,1,1993,9900
92,Professional,3,1979,11700
42,Professional,0,1905,12000
74,Vocational,2,1913,13200
89,Vocational,3,1951,13300
22,Stem,0,1951,10000
5,Other,0,1999,525
79,Professional,0,1963,12000
78,Professional,2,1905,11800
17,Humanities,3,1917,10300
86,Business,0,1979,10002
56,Humanities,2,1996,10200
10,Other,3,1956,600
86,Stem,0,1994,10000
83,Stem,0,1915,10000
7,Other,0,1904,549
96,Stem,2,1970,9800
95,Professional,2,1928,11800
0,Vocational,1,1917,12900
30,Stem,1,2000,9900
56,Other,0,1994,3636
73,Humanities,0,1990,10000
74,Vocational,2,1939,13200
29,Business,2,2019,10005
70,Professional,2,2010,11800
79,Vocational,3,1997,13300
4,Stem,0,1918,10000
59,Professional,3,1999,11700
74,Business,3,1906,10308
36,Professional,1,1965,11900
8,Stem,4,1921,20400
59,Stem,3,1994,20300
55,Professional,3,1961,11700
81,Stem,3,1946,20300
76,Stem,2,1906,9800
12,Stem,1,1923,9900
97,Vocational,1,1918,13100
50,Professional,1,1971,11900
75,Humanities,1,2011,20100
28,Professional,1,1925,11900
80,Stem,4,1999,20400
23,Professional,4,1932,11600
9,Other,4,1937,581
81,Vocational,4,2001,13400
40,Stem,1,1946,9900
85,Professional,0,1954,12000
92,Professional,2,1914,11800
58,Vocational,0,1907,13000
77,Business,0,1964,10008
56,Business,3,1944,10308
2,Vocational,4,1986,12600
21,Other,2,1924,941
57,Stem,0,1903,10000
99,Humanities,1,1940,10100
12,Humanities,2,2013,20200
35,Stem,4,1992,20400
75,Professional,1,1904,11900
27,Business,3,2009,10007
20,Humanities,4,2003,20400
82,Professional,1,1950,11900
3,Professional,0,2002,12000
57,Vocational,1,1993,13100
70,Stem,1,1914,9900
25,Business,0,1910,10005
47,Vocational,2,1910,13200
99,Business,4,1928,10403
13,Business,0,1991,10009
25,Humanities,4,1938,10400
3,Other,2,1929,509
25,Vocational,0,1980,13000
47,Vocational,1,1913,13100
20,Business,4,1986,10408
59,Vocational,1,1978,13100
19,Professional,3,2005,11700
7,Other,2,1965,549
48,Humanities,0,2001,20000
5,Professional,1,1909,11900
43,Other,1,1993,2349
45,Stem,0,1968,10000
77,Professional,4,1983,11600
1,Stem,2,1967,9800
4,Humanities,2,1976,10200
49,Other,4,2014,2901
13,Business,1,1923,10008
65,Stem,4,1956,20400
87,Stem,4,1918,20400
91,Professional,2,1987,11800
66,Business,0,1994,10007
45,Professional,0,1910,12000
43,Other,0,1991,2349
15,Vocational,3,1956,13300
59,Business,3,1967,10008
99,Professional,2,1987,11800
20,Business,0,2018,10004
32,Professional,3,1912,11700
43,Business,0,1991,10005
93,Stem,0,1941,10000
24,Business,4,1957,10009
45,Business,1,1994,10108
36,Humanities,1,2014,20100
30,Business,1,1906,10108
54,Stem,2,2020,9800
84,Humanities,1,1926,10100
42,Business,4,1909,10002
59,Professional,0,1938,12000
96,Stem,4,2001,20400
33,Stem,3,1929,20300
36,Business,4,1971,10008
90,Business,4,1911,10009
9,Stem,0,1909,10000
100,Other,1,1982,10500
80,Other,4,2017,6900
3,Stem,0,1971,10000
92,Professional,2,1908,11800
89,Stem,4,2012,20400
1,Professional,4,1927,11600
35,Humanities,4,1949,10400
61,Other,3,1951,4221
49,Business,3,2014,10304
5,Professional,0,1981,12000
60,Humanities,1,1996,10100
42,Business,1,2012,10109
72,Other,0,1922,5684
15,Other,0,1909,725
19,Vocational,3,1961,13300
68,Professional,2,2010,11800
2,Professional,1,1953,11900
41,Vocational,4,1982,13400
51,Humanities,1,1974,10100
10,Business,4,1907,10006
92,Vocational,0,2000,13000
29,Other,2,2017,1341
62,Stem,1,1956,9900
38,Professional,2,1960,11800
0,Business,4,1972,10409
20,Stem,4,1964,20400
94,Professional,4,1941,11600
7,Other,4,1968,549
90,Professional,2,1982,11800
80,Humanities,4,1990,10400
48,Business,3,1998,10307
99,Business,2,1951,10005
63,Stem,3,1953,20300
65,Vocational,3,2012,13300
97,Professional,4,1961,11600
49,Professional,4,1990,11600
19,Other,4,2010,861
53,Other,1,1908,3309
9,Business,2,1984,10208
5,Vocational,4,1974,13400
10,Other,0,1901,600
30,Humanities,2,2020,20200
90,Stem,2,1924,9800
47,Professional,4,2013,11600
39,Professional,4,2005,11600
59,Stem,3,1934,20300
89,Humanities,4,1984,10400
8,Other,2,1992,564
2,Professional,4,2019,11600
81,Stem,3,2020,20300
47,Other,2,2000,2709
49,Other,3,1963,2901
19,Business,1,2019,10005
86,Humanities,1,1998,10100
43,Professional,4,1940,11600
69,Business,1,1940,10107
18,Humanities,0,1985,10000
97,Humanities,3,1997,10300
75,Business,2,1901,10004
48,Other,4,1984,2804
42,Other,3,1984,2264
82,Professional,1,1999,11900
39,Other,4,1983,2021
9,Humanities,0,1990,10000
57,Other,4,1931,3749
53,Business,3,1986,10304
93,Professional,0,1935,12000
28,Humanities,0,1978,10000
62,Humanities,4,1930,10400
7,Humanities,3,1991,10300
84,Stem,1,1978,9900
0,Professional,2,2004,11800
63,Business,4,1914,10409
35,Vocational,3,1987,13300
99,Humanities,4,1946,10400
6,Stem,2,1941,9800
13,Other,0,1924,669
60,Business,1,1921,10003
35,Humanities,3,1986,10300
8,Business,3,1993,10005
56,Humanities,0,1922,10000
55,Humanities,1,1988,10100
28,Stem,4,1982,20400
67,Vocational,0,1966,13000
70,Professional,1,1969,11900
42,Other,0,1912,2264
58,Humanities,2,2006,20200
99,Other,2,1996,10301
49,Other,4,1907,2901
72,Humanities,1,1924,10100
35,Humanities,4,1912,10400
75,Other,0,1901,6125
13,Vocational,0,1917,13000
6,Humanities,4,1935,10400
49,Other,2,2014,2901
51,Humanities,0,1991,10000
65,Business,2,1948,10203
55,Stem,4,2019,20400
10,Humanities,4,1983,10400
62,Humanities,1,1957,10100
84,Other,3,1955,7556
11,Humanities,1,1929,10100
30,Other,3,1943,1400
2,Professional,2,1902,11800
27,Humanities,3,1991,10300
20,Humanities,3,1913,10300
97,Business,2,1975,10009
50,Business,1,1948,10102
60,Other,1,1965,4100
98,Other,3,1983,10104
3,Business,0,1923,10007
79,Stem,0,2012,10000
2,Stem,1,1903,9900
20,Vocational,4,1935,13400
83,Humanities,3,1954,10300
5,Professional,3,2020,11700
82,Professional,1,1950,11900
28,Humanities,1,1989,10100
8,Professional,4,1976,11600
27,Vocational,1,1947,13100
53,Business,0,1911,10005
67,Professional,0,1974,12000
54,Stem,4,1943,20400
92,Vocational,2,1995,13200
6,Business,0,1945,10008
61,Other,1,1966,4221
73,Humanities,1,1959,10100
98,Stem,1,1989,9900
30,Business,3,1973,10003
48,Other,2,1962,2804
60,Other,4,1911,4100
72,Humanities,3,1993,10300
19,Professional,0,1911,12000
44,Professional,4,1984,11600
23,Professional,4,1917,11600
28,Professional,0,1963,12000
1,Stem,2,1915,9800
98,Other,0,1973,10104
15,Humanities,0,1930,10000
19,Business,0,1963,10008
59,Stem,0,1982,10000
80,Business,0,1940,10008
56,Professional,2,2000,11800
38,Stem,1,1952,9900
14,Humanities,0,1972,10000
81,Other,3,1930,7061
1,Stem,2,1992,9800
37,Vocational,3,1931,13300
24,Other,0,1918,1076
30,Other,2,2006,1400
62,Vocational,0,1945,13000
85,Humanities,4,1982,10400
18,Vocational,0,2002,13000
38,Stem,2,1911,9800
49,Business,4,2000,10403
87,Stem,4,1908,20400
66,Vocational,0,2005,13000
100,Humanities,1,1985,10100
45,Vocational,0,2020,13000
27,Humanities,2,2012,20200
89,Other,1,1931,8421
84,Vocational,1,1970,13100
89,Business,3,1981,10004
100,Business,2,1978,10205
70,Business,3,2009,10006
87,Humanities,2,1972,10200
85,Vocational,2,1957,13200
64,Other,2,1936,4596
57,Professional,4,1989,11600
9,Stem,3,1984,20300
98,Vocational,3,1910,13300
5,Humanities,2,1981,10200
45,Other,4,1954,2525
88,Business,0,1943,10007
19,Vocational,0,1960,13000
63,Humanities,1,1981,10100
11,Business,4,1930,10406
92,Stem,1,2013,9900
0,Other,1,1946,500
26,Stem,4,1967,20400
97,Other,3,1943,9909
51,Stem,2,1935,9800
32,Other,3,1928,1524
27,Stem,0,2006,10000
94,Professional,3,1983,11700
54,Vocational,4,1931,13400
11,Vocational,0,1930,13000
49,Vocational,1,1939,13100
71,Humanities,4,1979,10400
60,Vocational,2,1982,13200
48,Professional,3,1906,11700
39,Business,0,1941,10002
31,Other,4,1925,1461
83,Humanities,0,1927,10000
76,Humanities,3,1932,10300
88,Vocational,3,2007,13300
27,Stem,1,1959,9900
92,Professional,4,1988,11600
89,Professional,1,1926,11900
81,Business,4,1902,10409
62,Professional,2,2008,11800
61,Professional,0,1988,12000
87,Professional,1,1916,11900
41,Other,1,1967,2181
78,Vocational,1,1971,13100
80,Professional,2,1912,11800
2,Stem,0,2018,10000
75,Professional,2,1984,11800
33,Other,1,1969,1589
94,Other,3,1912,9336
0,Business,2,1988,10206
81,Business,3,1988,10304
61,Business,3,1952,10302
78,Professional,3,1929,11700
9,Business,0,1977,10006
2,Other,1,1953,504
7,Stem,0,1941,10000
23,Other,4,1900,1029
81,Other,4,1957,7061
16,Humanities,2,1983,10200
25,Other,3,2020,1125
61,Other,2,2013,4221
49,Vocational,1,1912,13100
97,Business,2,1903,10006
6,Professional,1,1979,11900
86,Vocational,3,1933,13300
32,Humanities,3,1925,10300
