Attendance,Major,Questions,Score,Seniority,Texting,Grade
46,Polsci,Always,48,Senior,Rarely,Pass
5,Comm,Rare,35,Junior,Rarely,Fail
43,Stat,Always,70,Senior,Rarely,Pass
56,Comm,Always,98,Sophomore,Rarely,Pass
97,Cs,Always,5,Junior,Rarely,Fail
33,Comm,Rare,73,Senior,Rarely,Pass
52,Comm,Rare,75,Senior,Always,Pass
53,Comm,Always,53,Sophomore,Always,Pass
97,Cs,Always,30,Freshman,Rarely,Fail
67,Polsci,Rare,32,Junior,Rarely,Fail
2,Cs,Always,57,Sophomore,Always,Pass
7,Cs,Rare,92,Sophomore,Always,Pass
35,Stat,Rare,1,Junior,Always,Fail
48,Stat,Always,89,Freshman,Always,Fail
4,Stat,Rare,91,Senior,Rarely,Pass
100,Comm,Rare,98,Senior,Always,Pass
50,Stat,Always,81,Freshman,Always,Pass
15,Cs,Always,55,Junior,Rarely,Fail
81,Stat,Rare,96,Junior,Always,Fail
3,Polsci,Rare,47,Junior,Always,Fail
29,Comm,Always,58,Sophomore,Rarely,Pass
29,Stat,Rare,22,Senior,Rarely,Fail
6,Polsci,Always,33,Sophomore,Rarely,Pass
91,Cs,Rare,62,Freshman,Always,Fail
26,Stat,Rare,69,Junior,Rarely,Fail
63,Comm,Rare,95,Freshman,Always,Pass
29,Comm,Rare,98,Sophomore,Always,Pass
36,Stat,Always,50,Sophomore,Always,Fail
82,Comm,Rare,26,Freshman,Rarely,Fail
93,Stat,Always,31,Senior,Always,Fail
15,Cs,Always,66,Junior,Always,Fail
46,Comm,Rare,62,Freshman,Always,Pass
52,Polsci,Always,40,Junior,Rarely,Pass
60,Stat,Always,66,Junior,Rarely,Fail
55,Comm,Always,91,Senior,Always,Pass
87,Polsci,Rare,91,Freshman,Always,Pass
88,Polsci,Rare,41,Sophomore,Rarely,Fail
28,Polsci,Rare,75,Junior,Rarely,Pass
80,Cs,Always,54,Sophomore,Rarely,Pass
94,Comm,Rare,60,Freshman,Rarely,Pass
51,Comm,Always,71,Senior,Always,Pass
68,Cs,Always,87,Freshman,Always,Pass
42,Cs,Rare,100,Freshman,Always,Pass
16,Cs,Always,23,Senior,Rarely,Fail
38,Comm,Always,76,Junior,Always,Pass
54,Stat,Always,5,Senior,Always,Fail
67,Polsci,Always,27,Senior,Rarely,Pass
3,Stat,Rare,91,Sophomore,Always,Pass
93,Stat,Always,14,Senior,Always,Fail
85,Stat,Rare,23,Freshman,Always,Fail
31,Cs,Always,40,Sophomore,Always,Fail
11,Polsci,Rare,91,Junior,Rarely,Pass
6,Comm,Always,44,Junior,Rarely,Pass
96,Comm,Always,5,Freshman,Rarely,Fail
27,Comm,Always,83,Junior,Always,Pass
79,Cs,Rare,48,Sophomore,Rarely,Fail
80,Comm,Always,53,Freshman,Rarely,Pass
78,Cs,Always,64,Sophomore,Rarely,Pass
31,Cs,Rare,97,Freshman,Always,Pass
55,Stat,Rare,12,Senior,Rarely,Fail
27,Comm,Rare,43,Sophomore,Always,Pass
24,Stat,Rare,53,Junior,Always,Fail
36,Comm,Always,90,Senior,Always,Pass
23,Stat,Always,5,Sophomore,Always,Fail
89,Stat,Always,36,Senior,Always,Fail
62,Comm,Always,54,Junior,Rarely,Pass
8,Stat,Rare,73,Sophomore,Always,Pass
35,Cs,Always,76,Junior,Rarely,Pass
6,Cs,Always,43,Sophomore,Always,Fail
73,Cs,Always,82,Sophomore,Always,Pass
40,Polsci,Always,34,Senior,Rarely,Fail
80,Polsci,Rare,6,Freshman,Always,Fail
99,Cs,Always,36,Junior,Always,Fail
63,Polsci,Always,33,Junior,Always,Pass
57,Cs,Always,48,Senior,Always,Fail
24,Polsci,Rare,33,Sophomore,Rarely,Fail
72,Comm,Rare,71,Freshman,Rarely,Pass
56,Polsci,Rare,25,Sophomore,Always,Fail
95,Comm,Always,88,Sophomore,Always,Fail
16,Comm,Rare,22,Sophomore,Always,Pass
32,Comm,Rare,68,Senior,Always,Pass
77,Polsci,Rare,93,Junior,Always,Fail
14,Polsci,Rare,56,Junior,Rarely,Pass
64,Polsci,Rare,62,Senior,Rarely,Pass
86,Stat,Always,69,Freshman,Rarely,Pass
23,Cs,Always,36,Senior,Always,Fail
89,Cs,Rare,79,Senior,Always,Pass
58,Stat,Rare,68,Senior,Always,Fail
45,Stat,Always,41,Sophomore,Rarely,Fail
42,Comm,Always,94,Freshman,Always,Pass
45,Stat,Rare,53,Senior,Always,Fail
19,Comm,Rare,70,Junior,Rarely,Pass
44,Polsci,Rare,29,Senior,Rarely,Fail
85,Stat,Rare,33,Senior,Rarely,Fail
29,Polsci,Rare,30,Junior,Always,Fail
97,Comm,Always,26,Senior,Rarely,Fail
81,Comm,Rare,16,Senior,Rarely,Fail
80,Comm,Always,31,Freshman,Always,Pass
8,Comm,Rare,28,Junior,Always,Fail
27,Stat,Rare,90,Senior,Always,Pass
54,Cs,Always,61,Junior,Always,Fail
90,Stat,Always,29,Junior,Always,Fail
84,Comm,Always,53,Junior,Rarely,Pass
92,Polsci,Always,53,Senior,Always,Pass
100,Cs,Rare,51,Freshman,Rarely,Fail
56,Stat,Rare,72,Freshman,Always,Pass
31,Polsci,Always,27,Freshman,Always,Pass
13,Stat,Always,36,Freshman,Always,Fail
33,Comm,Rare,57,Junior,Rarely,Fail
25,Stat,Always,74,Freshman,Rarely,Fail
8,Polsci,Always,21,Sophomore,Rarely,Pass
60,Cs,Rare,82,Senior,Rarely,Pass
22,Cs,Rare,95,Senior,Rarely,Pass
93,Cs,Always,60,Senior,Rarely,Fail
6,Cs,Always,65,Junior,Rarely,Fail
33,Cs,Always,32,Sophomore,Always,Fail
97,Polsci,Rare,7,Freshman,Always,Fail
41,Comm,Rare,18,Senior,Always,Pass
34,Cs,Rare,82,Junior,Always,Pass
39,Polsci,Rare,73,Senior,Always,Pass
63,Polsci,Always,79,Sophomore,Always,Pass
92,Comm,Always,80,Senior,Always,Pass
43,Comm,Always,90,Sophomore,Always,Pass
29,Comm,Rare,9,Senior,Always,Pass
21,Stat,Always,65,Senior,Rarely,Pass
94,Polsci,Always,72,Freshman,Rarely,Pass
15,Cs,Always,97,Senior,Always,Pass
27,Stat,Always,80,Junior,Always,Fail
37,Stat,Rare,1,Sophomore,Rarely,Fail
36,Cs,Rare,88,Senior,Always,Fail
34,Comm,Rare,11,Freshman,Always,Pass
74,Polsci,Rare,44,Freshman,Rarely,Fail
84,Stat,Rare,65,Junior,Rarely,Pass
71,Cs,Always,83,Sophomore,Always,Fail
73,Polsci,Rare,61,Junior,Always,Pass
20,Stat,Rare,81,Sophomore,Always,Pass
18,Cs,Rare,36,Junior,Always,Fail
44,Comm,Always,8,Sophomore,Rarely,Fail
7,Cs,Always,66,Freshman,Rarely,Fail
67,Comm,Rare,96,Freshman,Always,Pass
1,Stat,Always,30,Sophomore,Always,Fail
8,Stat,Always,74,Freshman,Always,Fail
21,Stat,Rare,49,Senior,Always,Fail
86,Stat,Rare,23,Sophomore,Always,Fail
37,Polsci,Always,14,Junior,Always,Pass
4,Polsci,Always,69,Freshman,Always,Pass
24,Comm,Always,83,Sophomore,Rarely,Pass
22,Stat,Always,83,Sophomore,Rarely,Pass
99,Comm,Rare,10,Senior,Rarely,Fail
60,Cs,Rare,16,Sophomore,Rarely,Fail
0,Comm,Rare,41,Sophomore,Always,Pass
3,Cs,Always,73,Junior,Always,Pass
8,Cs,Rare,45,Freshman,Always,Fail
64,Comm,Rare,45,Sophomore,Always,Pass
20,Comm,Rare,60,Freshman,Always,Pass
44,Stat,Rare,28,Senior,Rarely,Fail
8,Stat,Rare,79,Junior,Rarely,Fail
13,Stat,Always,53,Junior,Always,Fail
86,Stat,Rare,10,Junior,Always,Fail
63,Comm,Rare,46,Freshman,Always,Pass
58,Stat,Always,43,Junior,Rarely,Fail
66,Polsci,Always,10,Sophomore,Always,Fail
67,Stat,Rare,85,Senior,Rarely,Fail
59,Polsci,Rare,56,Sophomore,Rarely,Pass
1,Cs,Rare,43,Senior,Always,Fail
70,Stat,Always,75,Junior,Always,Pass
48,Polsci,Always,57,Senior,Always,Pass
62,Cs,Always,50,Sophomore,Always,Pass
99,Cs,Always,41,Freshman,Rarely,Pass
44,Stat,Always,18,Freshman,Rarely,Fail
27,Comm,Always,57,Senior,Always,Pass
94,Cs,Always,84,Sophomore,Rarely,Pass
36,Comm,Always,10,Junior,Always,Fail
31,Polsci,Rare,11,Freshman,Rarely,Fail
57,Comm,Rare,8,Sophomore,Rarely,Fail
29,Polsci,Always,61,Freshman,Rarely,Fail
89,Comm,Always,49,Junior,Rarely,Pass
28,Comm,Always,82,Senior,Always,Pass
69,Polsci,Always,26,Sophomore,Always,Pass
3,Stat,Always,89,Junior,Always,Pass
19,Cs,Rare,42,Senior,Always,Fail
86,Cs,Always,95,Junior,Always,Fail
72,Comm,Rare,42,Freshman,Rarely,Fail
55,Stat,Rare,78,Freshman,Always,Fail
83,Stat,Rare,54,Senior,Always,Fail
43,Comm,Always,38,Freshman,Always,Fail
49,Comm,Rare,12,Freshman,Rarely,Fail
82,Comm,Always,40,Freshman,Rarely,Pass
63,Comm,Rare,83,Sophomore,Rarely,Pass
50,Polsci,Always,14,Senior,Always,Pass
13,Polsci,Rare,95,Junior,Rarely,Pass
78,Stat,Always,19,Senior,Always,Fail
100,Cs,Rare,1,Junior,Always,Fail
30,Polsci,Rare,57,Senior,Rarely,Pass
100,Stat,Rare,87,Freshman,Rarely,Pass
40,Stat,Rare,66,Freshman,Always,Pass
55,Stat,Always,93,Senior,Always,Pass
8,Comm,Always,72,Junior,Rarely,Pass
35,Polsci,Rare,58,Sophomore,Rarely,Fail
46,Comm,Rare,10,Senior,Rarely,Fail
90,Polsci,Rare,99,Freshman,Always,Fail
61,Stat,Always,79,Sophomore,Always,Pass
50,Stat,Always,68,Junior,Always,Pass
79,Comm,Rare,20,Senior,Rarely,Fail
38,Cs,Rare,86,Freshman,Always,Pass
28,Stat,Always,63,Freshman,Always,Fail
36,Polsci,Always,67,Junior,Always,Pass
87,Polsci,Rare,60,Junior,Rarely,Pass
12,Cs,Rare,27,Senior,Rarely,Fail
57,Polsci,Always,6,Sophomore,Rarely,Pass
46,Polsci,Always,27,Freshman,Always,Pass
0,Stat,Rare,55,Junior,Always,Fail
50,Stat,Always,30,Senior,Always,Fail
41,Comm,Always,86,Senior,Always,Pass
40,Cs,Rare,100,Sophomore,Always,Pass
16,Comm,Always,80,Junior,Always,Fail
37,Stat,Rare,71,Junior,Rarely,Fail
76,Polsci,Always,19,Freshman,Rarely,Pass
85,Stat,Rare,51,Sophomore,Always,Fail
40,Cs,Rare,24,Junior,Rarely,Fail
97,Cs,Rare,14,Freshman,Rarely,Fail
56,Polsci,Rare,50,Senior,Rarely,Pass
35,Stat,Rare,100,Sophomore,Always,Pass
76,Comm,Always,53,Sophomore,Always,Pass
93,Cs,Rare,36,Senior,Always,Fail
48,Comm,Rare,98,Junior,Always,Pass
94,Comm,Always,79,Sophomore,Rarely,Pass
12,Comm,Always,12,Freshman,Always,Pass
94,Comm,Rare,63,Senior,Always,Pass
1,Comm,Always,66,Senior,Rarely,Pass
51,Comm,Always,83,Sophomore,Rarely,Fail
35,Stat,Rare,75,Junior,Rarely,Pass
79,Comm,Rare,47,Junior,Always,Pass
99,Cs,Rare,48,Sophomore,Always,Fail
20,Comm,Always,67,Freshman,Rarely,Pass
7,Stat,Always,13,Freshman,Rarely,Fail
77,Polsci,Rare,82,Senior,Always,Pass
88,Polsci,Always,47,Junior,Always,Pass
33,Polsci,Always,94,Senior,Always,Pass
19,Stat,Always,63,Sophomore,Always,Pass
79,Comm,Rare,80,Sophomore,Rarely,Pass
91,Cs,Rare,74,Senior,Rarely,Fail
22,Cs,Rare,25,Sophomore,Rarely,Fail
62,Cs,Always,43,Senior,Always,Fail
75,Cs,Always,65,Senior,Always,Fail
89,Cs,Always,23,Junior,Always,Fail
71,Comm,Rare,23,Junior,Always,Pass
89,Polsci,Rare,80,Freshman,Always,Pass
27,Cs,Rare,47,Sophomore,Always,Fail
25,Comm,Rare,100,Senior,Always,Pass
89,Stat,Rare,75,Junior,Rarely,Pass
38,Polsci,Rare,95,Junior,Always,Pass
72,Cs,Rare,97,Sophomore,Always,Fail
8,Comm,Rare,82,Freshman,Always,Pass
62,Stat,Rare,91,Senior,Rarely,Fail
47,Polsci,Rare,58,Freshman,Rarely,Pass
93,Comm,Rare,44,Senior,Always,Pass
6,Cs,Rare,25,Sophomore,Rarely,Fail
70,Comm,Rare,31,Freshman,Always,Pass
24,Comm,Rare,29,Senior,Rarely,Fail
98,Polsci,Always,13,Freshman,Always,Pass
2,Cs,Always,62,Senior,Rarely,Fail
40,Cs,Always,16,Junior,Rarely,Fail
89,Comm,Always,38,Junior,Rarely,Fail
20,Cs,Always,6,Sophomore,Always,Fail
78,Cs,Always,77,Senior,Rarely,Fail
98,Polsci,Rare,19,Sophomore,Always,Fail
75,Comm,Always,92,Junior,Rarely,Pass
56,Comm,Rare,52,Senior,Rarely,Pass
83,Stat,Always,75,Freshman,Always,Pass
7,Stat,Rare,51,Sophomore,Rarely,Fail
63,Comm,Rare,49,Senior,Always,Pass
46,Polsci,Rare,81,Sophomore,Always,Pass
22,Comm,Always,75,Junior,Rarely,Pass
33,Stat,Rare,84,Senior,Rarely,Pass
53,Cs,Always,6,Junior,Rarely,Fail
65,Comm,Rare,86,Junior,Rarely,Pass
54,Polsci,Rare,76,Freshman,Rarely,Pass
79,Cs,Rare,52,Senior,Rarely,Fail
12,Cs,Rare,80,Freshman,Rarely,Pass
60,Stat,Always,47,Freshman,Rarely,Fail
24,Polsci,Rare,23,Junior,Always,Fail
19,Stat,Always,90,Junior,Rarely,Fail
92,Stat,Rare,63,Junior,Always,Pass
3,Stat,Always,98,Freshman,Rarely,Pass
31,Stat,Rare,56,Junior,Always,Fail
100,Cs,Rare,2,Sophomore,Rarely,Fail
86,Cs,Rare,55,Senior,Rarely,Fail
9,Comm,Always,60,Junior,Always,Pass
1,Polsci,Rare,8,Freshman,Always,Fail
64,Cs,Rare,42,Junior,Always,Fail
46,Comm,Always,48,Junior,Always,Pass
18,Stat,Always,38,Senior,Rarely,Fail
79,Stat,Always,22,Sophomore,Rarely,Fail
91,Stat,Always,4,Sophomore,Rarely,Fail
8,Polsci,Rare,31,Sophomore,Rarely,Fail
90,Stat,Rare,18,Senior,Always,Fail
4,Polsci,Always,66,Senior,Rarely,Pass
50,Polsci,Always,7,Junior,Rarely,Fail
35,Comm,Rare,11,Freshman,Rarely,Fail
27,Polsci,Rare,25,Freshman,Rarely,Fail
59,Polsci,Rare,83,Sophomore,Always,Pass
51,Stat,Rare,46,Senior,Rarely,Fail
0,Stat,Always,86,Sophomore,Rarely,Pass
80,Polsci,Always,60,Freshman,Rarely,Pass
3,Stat,Rare,79,Sophomore,Always,Pass
56,Stat,Always,71,Freshman,Rarely,Pass
30,Comm,Always,17,Senior,Rarely,Fail
95,Comm,Always,20,Senior,Always,Pass
91,Polsci,Always,37,Junior,Always,Pass
39,Cs,Always,68,Sophomore,Always,Pass
84,Polsci,Always,50,Senior,Always,Fail
49,Cs,Rare,9,Sophomore,Always,Fail
41,Polsci,Always,98,Junior,Always,Pass
35,Cs,Always,71,Freshman,Rarely,Pass
67,Stat,Rare,3,Senior,Rarely,Fail
71,Cs,Rare,83,Sophomore,Rarely,Pass
82,Comm,Always,15,Freshman,Always,Pass
14,Polsci,Rare,7,Senior,Rarely,Fail
97,Polsci,Always,81,Junior,Rarely,Fail
70,Comm,Always,94,Junior,Rarely,Fail
51,Stat,Always,40,Sophomore,Always,Fail
54,Stat,Always,10,Sophomore,Rarely,Fail
89,Comm,Always,89,Junior,Rarely,Pass
70,Polsci,Rare,41,Senior,Rarely,Fail
98,Cs,Rare,17,Junior,Rarely,Fail
22,Stat,Always,60,Junior,Always,Fail
22,Cs,Rare,36,Senior,Always,Fail
100,Cs,Always,40,Senior,Always,Fail
2,Comm,Rare,74,Senior,Always,Pass
79,Polsci,Always,99,Junior,Rarely,Pass
43,Stat,Rare,22,Sophomore,Rarely,Fail
66,Stat,Rare,21,Junior,Always,Fail
92,Polsci,Rare,35,Senior,Rarely,Fail
31,Stat,Rare,40,Senior,Rarely,Fail
13,Stat,Always,24,Senior,Always,Fail
85,Stat,Always,24,Senior,Always,Fail
7,Cs,Rare,85,Freshman,Always,Pass
72,Comm,Always,76,Freshman,Always,Pass
40,Cs,Rare,88,Freshman,Always,Pass
37,Stat,Always,64,Senior,Always,Fail
34,Comm,Rare,82,Senior,Always,Fail
9,Comm,Always,2,Junior,Always,Pass
10,Polsci,Rare,85,Sophomore,Always,Fail
88,Stat,Rare,52,Freshman,Rarely,Fail
92,Stat,Always,12,Junior,Rarely,Fail
32,Comm,Always,16,Junior,Always,Pass
25,Stat,Rare,57,Junior,Always,Fail
75,Stat,Always,86,Freshman,Rarely,Fail
54,Cs,Rare,2,Junior,Rarely,Fail
84,Polsci,Always,40,Sophomore,Rarely,Pass
38,Stat,Rare,65,Senior,Rarely,Pass
42,Comm,Always,36,Sophomore,Always,Fail
11,Stat,Rare,47,Senior,Always,Fail
41,Cs,Rare,59,Freshman,Rarely,Fail
17,Comm,Always,51,Junior,Always,Pass
67,Stat,Rare,12,Junior,Rarely,Fail
100,Stat,Rare,81,Sophomore,Always,Fail
8,Polsci,Always,66,Sophomore,Rarely,Fail
90,Polsci,Always,5,Sophomore,Always,Pass
49,Comm,Rare,91,Freshman,Rarely,Pass
3,Cs,Always,10,Sophomore,Rarely,Fail
82,Cs,Always,69,Freshman,Always,Fail
89,Stat,Rare,54,Sophomore,Rarely,Fail
16,Polsci,Rare,3,Junior,Always,Fail
22,Polsci,Rare,51,Junior,Always,Pass
91,Comm,Always,53,Junior,Rarely,Fail
61,Cs,Rare,93,Junior,Rarely,Pass
48,Comm,Always,28,Senior,Always,Pass
23,Comm,Rare,34,Junior,Always,Pass
15,Stat,Rare,1,Sophomore,Always,Fail
9,Cs,Always,34,Freshman,Rarely,Fail
28,Polsci,Always,47,Senior,Always,Pass
63,Comm,Rare,72,Freshman,Always,Pass
53,Comm,Always,28,Sophomore,Rarely,Fail
71,Cs,Rare,57,Sophomore,Rarely,Fail
54,Polsci,Always,48,Senior,Rarely,Pass
32,Polsci,Rare,39,Senior,Rarely,Fail
24,Polsci,Always,53,Freshman,Always,Pass
71,Stat,Rare,77,Sophomore,Rarely,Pass
52,Comm,Always,11,Senior,Always,Pass
1,Stat,Always,58,Freshman,Always,Fail
44,Cs,Rare,28,Junior,Always,Fail
42,Polsci,Rare,1,Senior,Rarely,Fail
77,Cs,Rare,53,Sophomore,Always,Pass
35,Stat,Rare,2,Sophomore,Always,Fail
43,Polsci,Always,59,Freshman,Always,Pass
46,Stat,Rare,72,Freshman,Always,Pass
86,Stat,Always,98,Sophomore,Rarely,Fail
81,Polsci,Always,62,Freshman,Always,Pass
95,Cs,Rare,21,Junior,Rarely,Fail
68,Polsci,Rare,68,Sophomore,Always,Pass
95,Comm,Always,14,Sophomore,Rarely,Fail
39,Polsci,Always,52,Junior,Rarely,Pass
48,Stat,Rare,66,Sophomore,Always,Fail
39,Polsci,Rare,69,Freshman,Rarely,Pass
71,Stat,Rare,97,Sophomore,Rarely,Pass
0,Comm,Always,60,Junior,Always,Pass
38,Stat,Rare,37,Junior,Rarely,Fail
89,Comm,Rare,89,Junior,Always,Pass
15,Cs,Always,21,Freshman,Always,Fail
65,Stat,Always,81,Senior,Always,Fail
40,Stat,Rare,54,Junior,Always,Fail
38,Polsci,Always,70,Junior,Rarely,Pass
19,Stat,Always,30,Senior,Always,Fail
49,Stat,Rare,2,Junior,Always,Fail
95,Comm,Rare,7,Junior,Always,Pass
25,Comm,Rare,71,Sophomore,Always,Pass
90,Stat,Always,46,Sophomore,Rarely,Fail
28,Stat,Rare,40,Senior,Always,Fail
74,Comm,Rare,59,Freshman,Always,Pass
87,Comm,Rare,42,Freshman,Always,Pass
38,Stat,Always,65,Freshman,Always,Fail
82,Stat,Always,63,Freshman,Always,Pass
30,Polsci,Rare,40,Senior,Always,Fail
33,Cs,Always,81,Senior,Rarely,Pass
43,Cs,Always,48,Junior,Rarely,Fail
54,Stat,Rare,79,Senior,Always,Pass
4,Cs,Rare,42,Junior,Always,Fail
46,Comm,Always,93,Senior,Always,Pass
22,Cs,Always,5,Sophomore,Rarely,Fail
95,Cs,Rare,57,Freshman,Rarely,Fail
28,Polsci,Rare,3,Sophomore,Always,Fail
37,Comm,Always,34,Senior,Rarely,Fail
98,Stat,Rare,7,Sophomore,Rarely,Fail
74,Comm,Always,69,Senior,Rarely,Pass
38,Comm,Rare,5,Sophomore,Always,Pass
78,Stat,Rare,85,Sophomore,Always,Fail
45,Comm,Rare,70,Freshman,Rarely,Pass
50,Stat,Rare,40,Junior,Always,Fail
20,Cs,Rare,21,Freshman,Rarely,Fail
34,Cs,Always,6,Freshman,Rarely,Fail
34,Comm,Rare,36,Junior,Rarely,Fail
54,Comm,Rare,37,Junior,Always,Pass
86,Cs,Rare,35,Freshman,Rarely,Fail
63,Stat,Rare,34,Senior,Rarely,Fail
39,Cs,Always,6,Freshman,Always,Fail
73,Comm,Rare,26,Junior,Rarely,Fail
43,Comm,Rare,59,Sophomore,Always,Pass
92,Polsci,Rare,83,Sophomore,Rarely,Pass
1,Comm,Rare,48,Junior,Rarely,Fail
47,Polsci,Rare,18,Freshman,Always,Fail
75,Comm,Always,95,Senior,Rarely,Pass
12,Cs,Always,68,Junior,Rarely,Fail
31,Comm,Rare,42,Sophomore,Always,Pass
43,Stat,Rare,35,Sophomore,Rarely,Fail
45,Stat,Rare,38,Junior,Always,Fail
37,Cs,Rare,83,Senior,Always,Pass
68,Comm,Always,30,Senior,Always,Pass
36,Cs,Always,17,Senior,Always,Fail
84,Stat,Rare,39,Freshman,Rarely,Fail
50,Comm,Always,34,Junior,Rarely,Fail
76,Comm,Rare,74,Senior,Rarely,Pass
60,Cs,Always,88,Freshman,Always,Pass
45,Polsci,Rare,31,Senior,Always,Fail
10,Comm,Rare,33,Sophomore,Always,Pass
69,Comm,Rare,17,Sophomore,Always,Pass
91,Comm,Always,2,Junior,Always,Pass
69,Stat,Rare,93,Senior,Always,Pass
73,Polsci,Always,40,Sophomore,Rarely,Pass
26,Comm,Rare,33,Freshman,Rarely,Fail
29,Stat,Always,93,Junior,Rarely,Fail
73,Polsci,Always,88,Sophomore,Always,Pass
37,Comm,Always,67,Sophomore,Rarely,Pass
63,Stat,Rare,75,Junior,Rarely,Pass
13,Cs,Always,73,Freshman,Always,Pass
85,Stat,Always,97,Junior,Always,Pass
35,Cs,Rare,2,Freshman,Always,Fail
85,Stat,Always,98,Sophomore,Rarely,Fail
30,Polsci,Rare,20,Sophomore,Rarely,Fail
92,Stat,Always,97,Freshman,Always,Fail
2,Comm,Rare,95,Sophomore,Always,Pass
92,Comm,Always,97,Freshman,Rarely,Pass
36,Polsci,Always,18,Sophomore,Rarely,Pass
88,Cs,Always,15,Sophomore,Always,Fail
14,Cs,Rare,65,Junior,Rarely,Fail
18,Stat,Rare,37,Freshman,Rarely,Fail
18,Cs,Rare,28,Sophomore,Rarely,Fail
75,Polsci,Rare,15,Junior,Always,Fail
51,Cs,Rare,4,Junior,Always,Fail
55,Cs,Rare,1,Senior,Rarely,Fail
59,Polsci,Always,80,Freshman,Rarely,Pass
17,Stat,Rare,16,Freshman,Rarely,Fail
72,Comm,Rare,63,Freshman,Rarely,Pass
16,Stat,Rare,36,Sophomore,Always,Fail
55,Stat,Always,17,Junior,Always,Fail
38,Comm,Rare,93,Freshman,Always,Pass
47,Comm,Rare,92,Senior,Rarely,Pass
2,Polsci,Rare,27,Sophomore,Rarely,Fail
60,Cs,Rare,11,Junior,Rarely,Fail
64,Polsci,Always,77,Senior,Rarely,Pass
27,Polsci,Rare,41,Freshman,Always,Fail
45,Cs,Always,75,Freshman,Always,Pass
41,Comm,Rare,86,Sophomore,Always,Pass
36,Comm,Always,14,Freshman,Always,Pass
87,Polsci,Rare,86,Junior,Rarely,Pass
28,Comm,Rare,47,Freshman,Rarely,Fail
94,Stat,Rare,63,Junior,Rarely,Fail
27,Comm,Always,73,Senior,Always,Fail
1,Stat,Rare,74,Sophomore,Always,Pass
86,Cs,Rare,4,Senior,Rarely,Fail
90,Polsci,Rare,4,Freshman,Always,Fail
80,Cs,Always,19,Junior,Rarely,Fail
45,Comm,Always,47,Senior,Always,Pass
97,Stat,Rare,45,Sophomore,Always,Fail
31,Cs,Rare,88,Freshman,Rarely,Pass
21,Polsci,Rare,8,Junior,Rarely,Fail
55,Comm,Rare,5,Junior,Rarely,Fail
25,Polsci,Always,14,Senior,Always,Pass
35,Stat,Rare,38,Senior,Rarely,Fail
59,Stat,Always,87,Junior,Always,Pass
15,Polsci,Rare,60,Junior,Rarely,Pass
13,Cs,Rare,53,Junior,Rarely,Fail
62,Stat,Rare,88,Freshman,Always,Pass
27,Polsci,Always,69,Sophomore,Always,Pass
78,Comm,Rare,53,Junior,Rarely,Pass
75,Cs,Always,33,Senior,Rarely,Fail
51,Comm,Always,35,Senior,Always,Pass
48,Stat,Always,57,Freshman,Always,Fail
67,Comm,Always,56,Senior,Always,Pass
84,Polsci,Rare,82,Junior,Rarely,Pass
78,Comm,Always,39,Senior,Rarely,Fail
0,Cs,Always,87,Sophomore,Rarely,Pass
9,Comm,Rare,30,Freshman,Always,Pass
72,Polsci,Rare,81,Junior,Rarely,Pass
58,Cs,Rare,89,Freshman,Rarely,Pass
56,Comm,Rare,25,Freshman,Always,Fail
81,Polsci,Rare,68,Junior,Rarely,Pass
42,Cs,Always,34,Junior,Always,Fail
71,Stat,Always,75,Senior,Always,Pass
14,Stat,Always,30,Junior,Always,Fail
61,Stat,Always,57,Freshman,Rarely,Fail
72,Stat,Always,52,Junior,Rarely,Fail
54,Comm,Rare,97,Junior,Rarely,Pass
32,Polsci,Always,17,Sophomore,Rarely,Pass
79,Polsci,Always,42,Sophomore,Always,Pass
93,Comm,Rare,100,Senior,Always,Pass
65,Stat,Rare,93,Sophomore,Rarely,Pass
90,Stat,Rare,63,Junior,Always,Pass
67,Polsci,Always,24,Sophomore,Rarely,Pass
0,Cs,Rare,1,Sophomore,Rarely,Fail
52,Cs,Always,78,Junior,Rarely,Pass
41,Stat,Rare,43,Freshman,Always,Fail
85,Stat,Always,72,Senior,Always,Fail
17,Cs,Rare,67,Junior,Always,Fail
65,Cs,Always,46,Senior,Always,Fail
11,Comm,Always,63,Senior,Always,Pass
77,Polsci,Rare,10,Freshman,Always,Fail
68,Polsci,Rare,21,Sophomore,Rarely,Fail
63,Cs,Rare,97,Senior,Always,Pass
45,Stat,Rare,7,Senior,Always,Fail
22,Polsci,Always,67,Sophomore,Always,Pass
75,Cs,Always,33,Senior,Rarely,Fail
31,Cs,Rare,22,Sophomore,Rarely,Fail
56,Stat,Always,46,Senior,Always,Fail
78,Polsci,Always,52,Junior,Always,Pass
92,Comm,Rare,63,Senior,Always,Pass
9,Stat,Rare,39,Junior,Rarely,Fail
89,Polsci,Rare,76,Freshman,Rarely,Fail
70,Stat,Always,50,Freshman,Rarely,Fail
70,Cs,Rare,98,Freshman,Rarely,Fail
77,Stat,Rare,49,Freshman,Rarely,Fail
77,Stat,Rare,40,Freshman,Always,Fail
20,Polsci,Rare,65,Senior,Always,Fail
73,Stat,Rare,25,Sophomore,Rarely,Fail
50,Polsci,Always,14,Junior,Rarely,Pass
100,Cs,Always,97,Sophomore,Always,Pass
70,Stat,Rare,31,Sophomore,Rarely,Fail
4,Stat,Always,16,Freshman,Always,Fail
53,Cs,Rare,74,Sophomore,Always,Pass
45,Polsci,Always,64,Sophomore,Rarely,Pass
36,Comm,Always,4,Senior,Always,Fail
