Doze,Participation,Question,Score,Text,Grade
Never,77,Never,45,Always,D
Always,4,Never,27,Never,F
Always,49,Never,14,Sometimes,F
Always,67,Never,78,Always,C
Always,17,Never,66,Sometimes,C
Never,31,Always,48,Always,D
Always,28,Always,73,Sometimes,C
Always,90,Always,88,Always,A
Always,92,Never,26,Always,C
Always,48,Never,58,Sometimes,D
Always,22,Always,69,Never,C
Always,75,Always,55,Always,C
Never,28,Always,41,Sometimes,D
Never,0,Always,38,Never,F
Never,67,Never,87,Never,B
Always,0,Never,72,Never,C
Never,49,Always,67,Never,C
Always,78,Never,34,Sometimes,D
Never,90,Always,91,Always,A
Never,54,Always,93,Never,A
Always,5,Always,80,Always,A
Always,17,Never,32,Sometimes,F
Always,87,Never,4,Always,A
Never,64,Never,83,Sometimes,B
Never,21,Never,15,Never,D
Never,21,Never,37,Sometimes,F
Always,18,Always,29,Always,D
Always,2,Never,16,Never,D
Always,82,Always,94,Never,A
Never,67,Always,44,Always,F
Always,57,Never,74,Always,D
Never,9,Always,50,Never,D
Always,91,Never,93,Sometimes,B
Never,88,Never,84,Never,B
Always,48,Always,76,Never,D
Always,43,Never,65,Always,C
Never,20,Always,25,Sometimes,F
Never,70,Never,78,Sometimes,D
Never,49,Never,26,Always,F
Always,72,Never,68,Never,C
Always,50,Always,28,Sometimes,C
Always,39,Never,33,Never,D
Never,98,Never,47,Never,C
Always,65,Always,16,Never,C
Always,27,Never,95,Sometimes,A
Never,41,Always,35,Never,C
Always,37,Always,71,Never,C
Never,100,Never,91,Always,A
Always,32,Never,5,Never,F
Always,19,Always,82,Always,A
Always,49,Always,13,Always,A
Never,95,Never,96,Never,A
Always,100,Never,52,Never,C
Always,74,Never,39,Never,F
Never,18,Always,14,Always,F
Always,92,Always,69,Always,D
Never,29,Always,42,Sometimes,F
Never,22,Never,74,Never,F
Never,25,Always,50,Sometimes,B
Always,23,Never,37,Sometimes,F
Always,73,Never,19,Never,C
Never,90,Always,51,Never,A
Always,56,Always,70,Never,C
Always,84,Never,92,Sometimes,A
Always,64,Always,74,Always,C
Always,1,Never,36,Always,D
Never,25,Always,98,Never,A
Always,66,Always,20,Sometimes,D
Never,54,Never,87,Always,B
Always,40,Never,100,Never,A
Always,6,Never,11,Never,F
Always,19,Always,5,Sometimes,F
Always,35,Always,54,Always,C
Never,67,Never,20,Always,D
Never,67,Never,62,Always,F
Always,37,Always,64,Never,C
Always,0,Always,28,Never,F
Always,55,Never,27,Never,C
Never,84,Always,54,Sometimes,A
Always,6,Always,95,Never,A
Always,70,Never,35,Always,D
Always,75,Always,71,Never,D
Never,52,Always,61,Never,B
Never,66,Never,71,Always,D
Always,88,Never,89,Never,B
Never,87,Always,0,Always,A
Never,48,Never,57,Sometimes,F
Always,16,Never,51,Sometimes,D
Never,42,Never,72,Always,F
Always,77,Always,70,Never,C
Always,19,Never,3,Always,F
Always,99,Always,93,Always,A
Always,72,Always,11,Sometimes,F
Never,85,Never,72,Always,F
Never,55,Always,39,Always,A
Always,71,Always,70,Always,C
Never,89,Always,71,Always,B
Always,19,Always,94,Sometimes,A
Never,51,Never,32,Always,B
Never,26,Always,96,Sometimes,B
Always,99,Never,98,Never,A
Always,98,Always,2,Sometimes,D
Always,62,Never,49,Never,C
Never,2,Never,50,Always,F
Always,80,Never,51,Always,C
Always,48,Always,34,Sometimes,D
Always,26,Never,100,Never,B
Never,100,Never,6,Never,C
Never,36,Never,58,Always,A
Always,87,Never,62,Sometimes,C
Always,24,Never,28,Always,F
Always,2,Always,75,Never,C
Always,94,Always,57,Sometimes,C
Always,5,Never,25,Never,F
Always,92,Never,57,Sometimes,C
Always,73,Never,4,Always,B
Always,27,Always,14,Sometimes,F
Always,11,Never,24,Always,F
Never,51,Always,41,Sometimes,C
Never,35,Always,68,Never,F
Always,47,Never,77,Never,C
Never,29,Always,82,Never,A
Always,81,Always,9,Always,F
Never,43,Never,2,Sometimes,D
Never,94,Never,23,Always,C
Always,87,Never,91,Never,A
Never,69,Always,98,Never,A
Always,25,Always,50,Always,C
Always,93,Never,6,Sometimes,C
Always,50,Never,70,Never,C
Never,52,Always,72,Sometimes,A
Never,1,Always,90,Never,A
Never,22,Always,68,Sometimes,B
Never,31,Always,47,Sometimes,F
Never,61,Never,52,Never,D
Never,67,Always,46,Sometimes,F
Always,91,Never,44,Sometimes,F
Always,11,Never,21,Sometimes,F
Always,39,Always,17,Never,F
Always,75,Never,1,Always,A
Never,90,Always,63,Never,C
Never,0,Never,74,Sometimes,B
Never,52,Never,55,Sometimes,B
Always,48,Always,55,Always,C
Never,17,Always,29,Never,D
Always,58,Never,67,Always,D
Always,90,Always,74,Always,C
Never,31,Never,50,Sometimes,B
Never,53,Always,70,Always,A
Never,91,Never,8,Always,B
Never,21,Never,58,Sometimes,D
Always,85,Always,8,Always,C
Always,81,Always,36,Sometimes,F
Always,18,Never,86,Always,B
Always,74,Never,9,Sometimes,F
Always,6,Never,13,Never,F
Always,11,Always,27,Never,F
Never,81,Always,70,Never,D
Always,96,Never,92,Sometimes,B
Never,38,Never,43,Never,F
Always,3,Always,57,Sometimes,C
Never,50,Never,5,Always,F
Never,61,Always,52,Always,C
Never,14,Never,1,Always,F
Always,22,Always,65,Never,D
Always,85,Always,62,Always,C
Always,5,Never,28,Never,F
Always,6,Always,86,Sometimes,A
Never,73,Always,62,Always,D
Never,82,Never,94,Sometimes,B
Always,85,Never,57,Sometimes,C
Never,52,Never,45,Sometimes,D
Always,2,Always,35,Always,D
Never,12,Never,61,Always,D
Never,67,Never,49,Never,C
Never,79,Never,46,Sometimes,F
Never,37,Always,78,Sometimes,A
Always,67,Never,4,Sometimes,C
Never,20,Always,23,Always,F
Always,30,Never,28,Always,F
Always,32,Never,59,Sometimes,C
Always,67,Always,67,Always,C
Always,35,Never,85,Sometimes,B
Never,89,Always,41,Always,D
Always,33,Never,46,Sometimes,F
Always,74,Never,79,Sometimes,C
Never,86,Never,97,Never,A
Always,36,Never,90,Never,B
Always,38,Never,96,Always,B
Always,83,Never,49,Never,F
Always,93,Never,22,Always,C
Never,1,Always,7,Always,F
Never,39,Never,60,Sometimes,F
Always,45,Always,45,Never,C
Never,10,Never,83,Sometimes,A
Never,36,Always,9,Always,F
Never,57,Always,74,Always,B
Always,26,Always,76,Sometimes,C
Always,12,Never,53,Never,C
Never,17,Never,72,Never,D
Never,37,Never,31,Never,F
Always,29,Always,36,Always,F
Never,31,Always,49,Always,F
Never,2,Never,97,Never,B
Always,31,Always,23,Never,D
Always,28,Always,21,Sometimes,D
Never,75,Always,65,Sometimes,D
Always,35,Always,84,Sometimes,A
Always,95,Always,94,Sometimes,A
Always,47,Never,40,Always,D
Never,39,Always,99,Always,A
Always,33,Never,98,Always,A
Never,88,Always,50,Never,C
Never,100,Never,64,Always,A
Never,32,Always,81,Never,A
Never,72,Never,59,Always,A
Never,33,Always,15,Sometimes,F
Always,23,Never,55,Always,C
Never,29,Never,10,Never,D
Never,29,Always,43,Sometimes,F
Never,50,Always,76,Always,B
Always,44,Never,57,Sometimes,C
Always,93,Never,77,Sometimes,C
Never,35,Always,5,Never,F
Never,20,Never,92,Never,A
Always,8,Never,70,Always,C
Always,47,Always,11,Sometimes,F
Never,38,Always,33,Sometimes,F
Always,70,Always,18,Never,C
Never,93,Always,59,Sometimes,A
Never,86,Never,34,Always,D
Never,100,Never,21,Sometimes,C
Always,77,Always,22,Always,D
Always,42,Always,5,Always,B
Always,46,Always,55,Never,C
Always,19,Always,9,Always,F
Always,16,Always,88,Always,A
Always,93,Never,41,Never,C
Always,78,Never,45,Sometimes,D
Never,57,Never,88,Never,B
Never,64,Never,27,Sometimes,D
Always,87,Never,14,Sometimes,D
Never,56,Never,100,Never,B
Always,88,Always,4,Always,A
Always,90,Never,80,Sometimes,B
Always,49,Always,74,Never,C
Always,36,Always,8,Sometimes,F
Never,11,Never,77,Always,F
Never,57,Never,38,Always,C
Never,32,Never,89,Sometimes,B
Always,10,Never,14,Always,F
Always,63,Always,89,Sometimes,A
Always,100,Always,29,Always,D
Never,37,Always,29,Always,F
Never,4,Never,6,Sometimes,F
Never,30,Never,92,Never,A
Always,27,Always,61,Always,C
Always,53,Never,60,Never,C
Never,0,Always,5,Sometimes,F
Always,82,Never,79,Never,C
Always,40,Never,30,Sometimes,F
Never,58,Always,80,Never,B
Never,83,Never,83,Sometimes,B
Always,13,Always,80,Sometimes,A
Never,95,Always,85,Never,A
Never,29,Always,41,Always,F
Always,33,Never,17,Always,F
Always,70,Always,29,Never,D
Always,17,Never,50,Always,D
Never,94,Never,58,Always,D
Never,34,Never,35,Sometimes,F
Always,68,Always,24,Always,F
Always,59,Never,39,Sometimes,C
Always,5,Never,7,Sometimes,F
Always,40,Always,82,Sometimes,A
Never,39,Never,99,Never,B
Never,65,Always,23,Never,C
Never,90,Always,54,Never,C
Always,69,Never,61,Sometimes,C
Always,53,Never,36,Never,C
Never,89,Never,51,Never,D
Always,67,Always,35,Never,D
Always,21,Never,62,Always,C
Always,0,Never,0,Always,F
Always,38,Never,44,Sometimes,F
Always,98,Always,22,Sometimes,C
Always,53,Never,57,Sometimes,C
Always,54,Never,26,Never,D
Never,96,Always,20,Sometimes,F
Never,86,Always,28,Always,B
Never,24,Always,98,Sometimes,A
Never,48,Never,5,Sometimes,F
Always,9,Always,26,Never,D
Always,90,Always,8,Never,C
Never,98,Always,7,Always,B
Always,94,Always,35,Never,F
Always,78,Never,72,Always,C
Always,40,Always,21,Always,C
Always,1,Always,98,Always,A
Never,52,Always,21,Always,D
Never,45,Never,13,Always,D
Never,20,Never,6,Never,F
Always,47,Always,80,Sometimes,A
Never,21,Never,62,Sometimes,A
Always,53,Never,18,Sometimes,D
Always,66,Never,54,Sometimes,C
Always,90,Always,17,Sometimes,D
Never,81,Always,96,Never,A
Always,30,Always,42,Always,F
Always,50,Never,56,Sometimes,C
Always,72,Always,40,Always,B
Never,62,Always,18,Always,C
Never,59,Always,67,Always,D
Always,22,Never,30,Sometimes,F
Never,27,Never,38,Sometimes,F
Never,60,Always,29,Never,D
Never,39,Never,99,Always,B
Never,34,Never,35,Always,F
Always,32,Never,34,Sometimes,F
Never,31,Never,96,Never,B
Always,91,Never,8,Sometimes,C
Always,77,Always,3,Always,C
Never,23,Never,2,Never,F
Always,38,Always,81,Always,A
Always,93,Always,0,Never,F
Never,64,Always,7,Always,F
Always,62,Always,80,Never,B
Never,34,Always,78,Sometimes,B
Always,16,Always,18,Always,F
Always,19,Always,50,Always,C
Always,59,Always,97,Never,A
Never,33,Never,9,Sometimes,D
Always,1,Never,71,Never,D
Never,38,Never,79,Never,A
Never,43,Always,57,Always,D
Always,99,Always,30,Sometimes,F
Never,91,Never,10,Sometimes,D
Always,15,Never,75,Always,C
Always,93,Always,41,Never,C
Never,84,Never,85,Always,B
Always,22,Never,97,Sometimes,B
Never,51,Always,13,Always,C
Never,61,Never,12,Never,D
Always,89,Never,31,Never,F
Never,40,Always,88,Sometimes,A
Never,15,Always,98,Always,A
Always,97,Always,25,Never,D
Never,26,Never,71,Sometimes,B
Always,86,Always,75,Sometimes,C
Never,4,Never,19,Never,F
Never,44,Never,92,Sometimes,A
Never,52,Always,89,Sometimes,A
Never,96,Never,71,Always,F
Never,3,Always,64,Always,F
Never,65,Never,25,Never,C
Always,28,Never,39,Never,F
Always,57,Always,47,Sometimes,D
Always,0,Always,79,Never,C
Always,37,Never,42,Never,F
Never,30,Never,94,Always,B
Never,69,Always,51,Never,C
Never,16,Never,43,Never,F
Always,36,Always,58,Sometimes,D
Never,63,Never,11,Always,D
Never,48,Never,46,Always,F
Never,53,Never,69,Sometimes,C
Never,22,Never,29,Always,F
Never,22,Never,8,Always,F
Never,48,Never,12,Always,F
Always,35,Always,51,Sometimes,C
Always,92,Always,36,Never,C
Always,16,Always,95,Never,A
Never,62,Never,35,Sometimes,F
Never,24,Never,84,Sometimes,B
Never,9,Never,96,Sometimes,B
Never,2,Never,18,Sometimes,D
Always,84,Always,10,Sometimes,D
Never,80,Always,30,Sometimes,F
Never,77,Always,91,Always,A
Never,65,Never,7,Never,D
Always,88,Always,81,Always,A
Never,47,Always,57,Always,F
Always,45,Always,88,Sometimes,A
Never,82,Never,90,Always,B
Never,17,Always,79,Always,C
Always,30,Always,6,Sometimes,F
Always,16,Never,25,Sometimes,F
Never,15,Never,79,Never,D
Never,21,Always,46,Sometimes,F
Always,19,Always,75,Never,C
Never,79,Never,33,Always,D
Never,97,Always,2,Sometimes,C
Never,14,Never,9,Always,F
Never,10,Never,10,Never,F
Always,87,Never,100,Never,B
Always,10,Never,8,Sometimes,F
Always,81,Always,55,Never,D
Never,98,Always,39,Always,F
Never,16,Always,62,Always,F
Never,17,Never,1,Always,D
Always,68,Always,80,Sometimes,A
Never,19,Never,75,Never,C
Never,4,Always,23,Never,F
Always,44,Never,49,Always,D
Never,35,Never,84,Always,B
Never,6,Always,22,Always,F
Always,52,Always,23,Always,F
Never,17,Always,96,Never,A
Never,87,Never,56,Never,D
Always,40,Always,86,Always,A
Always,10,Always,98,Always,A
Never,40,Never,23,Never,F
Never,88,Never,11,Always,D
Always,4,Always,76,Always,C
Never,96,Always,43,Never,C
Never,86,Never,49,Never,C
Never,13,Never,89,Sometimes,B
Never,100,Always,0,Always,B
Never,61,Never,44,Always,C
Always,25,Always,30,Always,F
Never,63,Always,16,Sometimes,F
Always,71,Always,8,Never,C
Never,43,Always,50,Sometimes,A
Never,47,Always,5,Never,C
Always,73,Never,98,Always,A
Always,18,Never,66,Always,C
Never,56,Always,16,Never,F
Always,51,Never,60,Always,D
Never,76,Always,31,Sometimes,D
Never,68,Always,53,Sometimes,A
Always,59,Never,46,Sometimes,F
Always,1,Always,69,Never,C
Always,2,Always,84,Always,A
Always,16,Never,70,Never,C
Always,97,Always,36,Always,F
Never,55,Always,34,Never,C
Never,9,Always,4,Never,F
Never,8,Never,64,Always,A
Always,33,Never,36,Sometimes,D
Always,10,Always,57,Never,C
Always,9,Never,50,Always,C
Never,40,Always,28,Sometimes,C
Never,73,Always,4,Never,F
Always,75,Never,100,Always,B
Always,35,Never,74,Sometimes,C
Never,21,Always,86,Sometimes,A
Always,25,Always,15,Always,F
Never,88,Always,52,Sometimes,A
Never,54,Never,58,Always,F
Always,9,Always,20,Never,D
Never,7,Always,63,Sometimes,D
Never,18,Always,93,Always,A
Never,44,Never,55,Always,B
Always,17,Never,39,Sometimes,F
Never,81,Always,75,Never,B
Always,85,Never,92,Sometimes,B
Never,79,Never,63,Always,C
Never,30,Always,55,Always,C
Never,66,Always,58,Always,A
Always,52,Never,43,Never,D
Never,44,Always,38,Sometimes,C
Never,44,Never,38,Sometimes,D
Always,54,Always,21,Never,C
Always,48,Never,5,Sometimes,D
Never,30,Always,34,Sometimes,F
Always,83,Always,71,Always,C
Never,56,Always,10,Sometimes,D
Never,74,Never,0,Always,A
Always,36,Never,95,Always,A
Always,81,Always,16,Sometimes,F
Always,5,Always,79,Always,C
Never,11,Never,60,Never,C
Always,80,Always,66,Sometimes,C
Never,93,Never,55,Always,D
Never,58,Always,16,Never,F
Never,85,Always,78,Sometimes,B
Always,56,Always,54,Always,C
Always,88,Always,39,Sometimes,D
Never,56,Always,90,Never,A
Always,24,Always,41,Always,F
Always,21,Always,55,Always,C
Never,16,Never,66,Never,F
Never,22,Never,42,Always,F
Never,41,Never,33,Sometimes,F
Always,36,Always,45,Sometimes,F
Never,40,Always,24,Never,D
Always,11,Always,30,Sometimes,F
Never,35,Never,7,Sometimes,F
Always,68,Always,80,Always,A
Never,4,Never,86,Never,B
Never,15,Always,68,Always,C
Always,73,Never,6,Always,D
Always,15,Always,47,Always,F
Always,9,Always,26,Never,F
Never,49,Always,89,Never,B
Always,16,Always,17,Always,F
Never,75,Never,73,Never,A
Never,33,Never,8,Never,D
Always,64,Always,97,Sometimes,A
Always,81,Always,1,Sometimes,D
Always,10,Always,46,Always,F
Always,16,Never,82,Always,B
Always,68,Always,4,Always,A
Always,55,Never,70,Sometimes,C
Always,23,Never,7,Always,F
Never,56,Always,30,Never,C
Never,93,Always,85,Sometimes,A
Always,94,Always,75,Never,C
Always,79,Never,73,Never,C
Always,37,Always,81,Sometimes,A
Never,4,Always,35,Never,F
Never,54,Always,18,Never,C
Never,3,Always,4,Never,F
Always,95,Never,23,Sometimes,D
Always,87,Always,11,Never,C
Always,48,Always,33,Always,A
Never,92,Never,46,Always,D
Always,95,Always,11,Never,C
Never,28,Never,8,Never,F
Always,92,Always,58,Sometimes,C
Never,1,Always,23,Never,F
Never,5,Never,34,Always,F
Never,48,Always,27,Never,D
Never,9,Always,37,Always,D
Never,1,Never,13,Sometimes,D
Never,78,Never,14,Sometimes,C
Always,74,Never,91,Sometimes,B
Never,78,Never,94,Never,A
Always,32,Never,75,Sometimes,C
Always,28,Never,57,Sometimes,C
Never,67,Never,75,Sometimes,F
Always,28,Always,98,Never,A
Always,9,Always,36,Always,F
Never,45,Never,63,Never,A
Always,93,Always,5,Sometimes,C
Always,10,Always,17,Always,F
Never,16,Never,69,Never,C
Always,12,Never,76,Sometimes,C
Never,9,Never,31,Always,F
Always,30,Never,91,Always,B
Always,56,Always,22,Always,D
Never,62,Never,49,Never,C
Always,78,Always,28,Sometimes,D
Never,3,Never,5,Never,F
Never,59,Never,65,Never,F
Never,63,Always,100,Sometimes,A
Never,89,Always,8,Sometimes,D
Never,83,Never,77,Always,B
Always,24,Never,59,Always,D
Always,4,Never,13,Sometimes,D
Never,61,Never,68,Never,C
Always,32,Always,45,Sometimes,F
Never,6,Always,73,Always,F
Never,20,Always,54,Always,F
Never,43,Always,6,Sometimes,D
Always,96,Never,76,Never,C
Always,37,Never,93,Always,B
Never,90,Always,2,Sometimes,C
Always,64,Always,29,Sometimes,C
Always,27,Never,50,Always,C
Always,35,Never,91,Sometimes,B
Never,47,Always,11,Never,C
Always,43,Never,45,Always,B
Never,17,Never,11,Never,D
Never,74,Never,71,Never,B
Never,91,Never,67,Always,D
Never,22,Never,14,Never,D
Never,92,Always,4,Sometimes,C
Always,86,Always,5,Always,D
Always,16,Never,66,Always,C
Always,65,Never,99,Always,B
Always,22,Never,1,Never,F
Never,95,Always,73,Never,D
Always,83,Never,71,Always,C
Never,100,Never,95,Sometimes,A
Never,20,Never,57,Sometimes,D
Always,48,Never,18,Never,F
Never,68,Always,97,Sometimes,A
Never,71,Never,55,Never,A
Always,40,Always,36,Sometimes,F
Never,51,Never,14,Always,F
Always,8,Never,21,Sometimes,D
Always,90,Never,43,Sometimes,C
Never,38,Always,35,Never,D
Always,58,Always,81,Always,A
Always,96,Never,92,Sometimes,A
Always,85,Always,52,Always,D
Always,40,Never,37,Always,F
Never,61,Never,45,Always,F
Never,98,Always,34,Sometimes,C
Always,47,Always,52,Never,D
Always,88,Never,65,Always,C
Always,25,Never,61,Never,C
Never,4,Always,66,Never,D
Never,68,Always,4,Always,D
Never,65,Always,3,Never,F
Always,63,Never,5,Sometimes,C
Always,56,Always,84,Always,A
Never,99,Always,0,Always,C
Never,68,Always,2,Sometimes,D
Never,17,Always,54,Never,A
Never,33,Never,67,Sometimes,F
Never,91,Never,38,Sometimes,C
Always,39,Always,20,Always,F
Always,43,Never,66,Sometimes,D
Always,26,Always,97,Sometimes,A
Always,25,Always,96,Sometimes,A
Never,77,Never,67,Sometimes,B
Never,46,Always,3,Never,C
Never,34,Never,10,Always,F
Never,81,Always,7,Always,C
Never,5,Always,89,Sometimes,A
Never,44,Never,2,Always,C
Never,23,Always,73,Sometimes,C
Always,78,Never,83,Sometimes,A
Never,74,Never,94,Always,B
Always,33,Never,77,Always,C
Always,75,Never,11,Always,B
Always,96,Always,38,Sometimes,C
Always,44,Always,69,Always,D
Always,14,Always,88,Always,A
Never,50,Always,24,Sometimes,F
Always,1,Never,44,Sometimes,F
Always,48,Never,69,Sometimes,C
Always,79,Never,62,Sometimes,C
Always,46,Never,33,Never,D
Never,100,Always,7,Never,F
Always,3,Always,7,Sometimes,F
Always,88,Never,28,Always,B
Always,0,Always,91,Never,B
Never,62,Never,28,Never,C
Never,63,Always,15,Never,C
Always,26,Never,85,Always,A
Always,85,Never,15,Sometimes,C
Always,91,Always,90,Sometimes,A
Never,30,Never,42,Always,D
Never,21,Never,52,Sometimes,C
Never,91,Never,19,Always,B
Never,81,Always,3,Never,C
Always,12,Always,89,Never,A
Never,77,Always,46,Sometimes,F
Never,71,Always,47,Always,D
Always,41,Never,84,Always,A
Always,20,Never,86,Sometimes,B
Always,65,Never,21,Sometimes,C
Never,45,Never,29,Never,C
Always,60,Never,33,Always,B
Never,9,Always,3,Always,F
Never,64,Never,25,Never,C
Always,49,Always,19,Sometimes,D
Never,68,Never,74,Sometimes,F
Never,4,Always,87,Sometimes,A
Never,51,Never,46,Always,D
Never,4,Always,28,Sometimes,F
Always,43,Never,74,Never,C
Never,68,Always,27,Never,F
Never,79,Never,55,Never,D
Always,74,Always,20,Always,B
Always,29,Never,61,Sometimes,C
Always,98,Always,54,Sometimes,C
Always,50,Always,63,Never,C
Never,90,Always,90,Always,A
Never,76,Never,22,Never,C
Always,52,Always,50,Sometimes,D
Always,56,Never,24,Sometimes,C
Always,7,Always,32,Always,D
Never,46,Never,45,Always,D
Always,86,Always,8,Sometimes,C
Always,55,Always,78,Sometimes,C
Always,9,Never,12,Always,F
Never,100,Never,63,Always,D
Never,44,Never,8,Always,D
Always,69,Always,32,Never,D
Never,44,Always,27,Never,C
Never,47,Never,69,Never,A
Always,93,Never,9,Sometimes,C
Always,28,Never,26,Always,D
Never,76,Always,19,Always,A
Always,28,Always,49,Sometimes,D
Always,81,Never,50,Sometimes,C
Never,26,Always,19,Sometimes,F
Always,91,Never,1,Never,D
Always,73,Always,25,Always,B
Never,10,Always,57,Sometimes,C
Always,3,Always,9,Never,F
Always,45,Always,53,Sometimes,C
Never,66,Always,51,Sometimes,B
Always,84,Always,97,Sometimes,A
Always,91,Never,60,Always,C
Always,98,Never,7,Always,A
Always,52,Never,3,Never,F
Never,30,Always,61,Never,D
Always,86,Never,32,Sometimes,C
Always,4,Always,72,Never,C
Always,1,Never,24,Always,D
Never,95,Always,58,Never,C
Always,92,Always,25,Never,F
Always,12,Always,1,Sometimes,F
Never,59,Always,41,Always,A
Never,0,Always,90,Always,A
Never,63,Always,94,Never,A
Never,94,Never,43,Sometimes,D
Always,65,Always,36,Always,B
Never,40,Always,70,Sometimes,D
Always,63,Always,58,Sometimes,C
Always,19,Always,70,Sometimes,C
Never,90,Never,92,Always,A
Always,38,Always,63,Always,D
Always,50,Always,44,Never,C
Never,28,Never,75,Sometimes,D
Always,42,Always,80,Never,A
Always,20,Always,77,Never,C
Never,58,Never,0,Sometimes,D
Always,2,Never,72,Sometimes,C
Always,33,Always,87,Sometimes,A
Always,65,Never,46,Always,B
Always,41,Never,39,Sometimes,D
Never,64,Never,47,Always,F
Never,54,Always,23,Sometimes,D
Never,35,Never,64,Sometimes,C
Never,86,Never,25,Sometimes,F
Never,96,Never,82,Never,B
Always,13,Always,60,Never,C
Always,84,Never,16,Sometimes,D
Always,43,Always,44,Never,C
Always,90,Never,18,Never,C
Never,99,Always,93,Sometimes,A
Always,42,Never,81,Always,B
Always,67,Always,80,Sometimes,A
Never,57,Always,49,Always,F
Never,30,Never,18,Always,D
Never,48,Always,44,Never,D
Always,94,Always,24,Sometimes,D
Never,40,Never,95,Sometimes,B
Always,76,Always,35,Never,F
Never,1,Always,37,Sometimes,F
Never,87,Never,53,Always,C
Always,93,Never,29,Always,A
Always,15,Always,11,Never,F
Never,20,Never,16,Never,F
Always,83,Always,50,Always,C
Always,19,Always,81,Sometimes,A
Never,88,Always,64,Never,D
Never,97,Never,97,Never,B
Never,0,Never,61,Always,B
Always,48,Always,89,Always,A
Never,14,Always,57,Never,C
Never,26,Always,86,Sometimes,B
Never,59,Never,93,Never,A
Never,71,Always,87,Sometimes,B
Never,92,Always,66,Never,D
Never,67,Never,66,Never,B
Always,79,Always,48,Always,A
Never,54,Never,36,Never,C
Never,98,Always,52,Always,B
Never,44,Always,96,Never,A
Never,18,Always,68,Never,D
Always,99,Never,89,Always,B
Never,58,Always,59,Never,A
Always,5,Never,80,Always,B
Never,79,Never,15,Always,A
Never,52,Never,3,Sometimes,C
Always,14,Always,48,Sometimes,F
Never,69,Always,55,Never,C
Always,64,Never,80,Never,B
Never,17,Always,56,Never,A
Always,23,Never,88,Sometimes,B
Always,2,Never,65,Always,C
Never,62,Always,11,Never,C
Always,16,Always,42,Sometimes,F
Always,18,Always,90,Sometimes,B
Never,85,Always,33,Never,C
Always,13,Always,57,Always,C
Always,56,Never,56,Never,C
Always,57,Always,54,Sometimes,D
Never,1,Never,56,Sometimes,D
Never,24,Always,52,Always,C
Never,61,Always,68,Sometimes,A
Always,84,Never,36,Sometimes,C
Never,96,Always,83,Always,A
Always,86,Always,24,Always,B
Always,11,Always,88,Sometimes,A
Always,2,Always,84,Never,A
Always,28,Never,10,Sometimes,D
Always,90,Never,75,Sometimes,C
Always,8,Always,90,Always,B
Never,67,Always,12,Never,C
Never,16,Always,80,Sometimes,A
Always,0,Never,76,Always,C
Always,83,Always,47,Always,B
Never,30,Always,91,Sometimes,A
Never,47,Always,19,Never,C
Never,2,Always,63,Always,C
Never,11,Never,88,Always,A
Never,37,Always,16,Sometimes,F
Always,73,Never,69,Sometimes,C
Always,31,Never,33,Never,F
Never,89,Never,32,Never,C
Always,10,Never,89,Sometimes,B
Always,12,Always,3,Sometimes,F
Always,76,Always,69,Never,C
Always,58,Always,1,Never,C
Always,28,Never,5,Never,D
Never,96,Never,100,Always,B
Never,15,Always,49,Sometimes,F
Always,83,Always,86,Never,A
Never,27,Always,11,Always,D
Always,56,Never,49,Sometimes,D
Always,58,Never,15,Never,C
Never,88,Always,6,Never,F
Always,87,Never,48,Always,A
Never,100,Never,28,Sometimes,F
Never,70,Never,72,Always,C
Never,86,Never,42,Always,D
Always,26,Always,95,Always,A
Never,57,Never,0,Sometimes,D
Never,1,Always,0,Sometimes,F
Never,58,Never,72,Never,F
Always,40,Never,23,Always,C
Never,75,Never,86,Always,B
Never,31,Never,34,Sometimes,D
Never,64,Always,54,Sometimes,F
Always,22,Never,10,Never,F
Never,35,Never,58,Sometimes,C
Always,84,Always,89,Always,A
Always,83,Never,40,Sometimes,D
Always,29,Always,32,Never,F
Always,4,Never,53,Sometimes,C
Always,11,Always,25,Sometimes,F
Never,11,Never,61,Always,C
Never,65,Always,53,Always,D
Never,47,Never,60,Never,B
Always,58,Always,69,Never,C
Never,39,Always,96,Always,A
Always,14,Never,93,Sometimes,B
Always,90,Always,80,Never,B
Never,43,Always,37,Always,A
Never,3,Always,17,Always,F
Always,89,Never,18,Sometimes,D
Always,76,Never,6,Sometimes,F
Always,29,Always,2,Never,F
Never,100,Always,58,Never,D
Always,60,Always,36,Never,C
Always,8,Never,38,Never,F
Never,35,Never,60,Never,B
Always,56,Never,7,Never,C
Always,86,Never,54,Always,C
Always,12,Always,14,Never,F
Never,28,Never,28,Never,F
Never,90,Never,47,Never,C
Always,48,Always,59,Never,C
Always,40,Always,46,Always,C
Always,52,Never,72,Never,D
Always,89,Never,13,Sometimes,D
Always,22,Never,26,Never,F
Always,19,Never,30,Never,D
Never,21,Never,64,Never,D
Always,7,Never,67,Sometimes,C
Never,4,Never,29,Sometimes,F
Always,80,Always,53,Sometimes,C
Never,76,Never,44,Sometimes,C
Never,60,Never,78,Sometimes,F
Always,42,Never,56,Sometimes,D
Never,21,Always,66,Sometimes,F
Always,82,Never,93,Always,B
Never,54,Never,23,Sometimes,D
Always,5,Always,37,Never,F
Never,5,Never,60,Always,D
Always,74,Never,56,Sometimes,D
Never,94,Always,79,Sometimes,A
Never,34,Always,45,Never,F
